ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,familyID,familyName
518,Kryz,NA,41.1811,48.1846,kryt1240,kry,nakh1245,Nakh-Daghestanian
522,Kumyk (Karabudakhkent dialect),NA,43,47,kumy1244,kum,turk1311,Turkic
523,Kumyk (Ter Bragun dialect),NA,43,47,kumy1244,kum,turk1311,Turkic
525,Lak (Balkhar dialect),NA,42.1328,47.0809,lakk1252,lbe,nakh1245,Nakh-Daghestanian
526,Lak (Shali dialect),NA,42.1328,47.0809,lakk1252,lbe,nakh1245,Nakh-Daghestanian
527,Rutul (Borchino Khnow dialect),NA,41.6187,47.3244,rutu1240,rut,nakh1245,Nakh-Daghestanian
528,Rutul (Ikhrek dialect),NA,41.5,47.4166666667,ixre1238,rut,nakh1245,Nakh-Daghestanian
529,Rutul (Mukhrek) dialect,NA,41.5,47.4166666667,ixre1238,rut,nakh1245,Nakh-Daghestanian
530,Rutul (Shinaz dialect),NA,41.5,47.4166666667,shin1265,rut,nakh1245,Nakh-Daghestanian
531,"Bezhta (Tlyadal dialect, Karauzek subdialect)",NA,42.0833333333,46.1666666667,tlya1238,kap,nakh1245,Nakh-Daghestanian
532,Tsakhur (Gelmets dialect),NA,41.5916,46.8858,tsak1249,tkr,nakh1245,Nakh-Daghestanian
533,Tsova-Tush,NA,42.1806,45.344,bats1242,bbl,nakh1245,Nakh-Daghestanian
534,Archi (variety 2),NA,42.3239,46.8267,arch1244,aqc,nakh1245,Nakh-Daghestanian
701,Bengali,NA,24,90,beng1280,ben,indo1319,Indo-European
702,Hindi,NA,25,77,hind1269,hin,indo1319,Indo-European
705,Marathi,NA,17.9344,76.6665,mara1378,mar,indo1319,Indo-European
706,Nepali,NA,28,85,east1436,nep,indo1319,Indo-European
707,Punjabi,NA,30.0948,75.3474,west2386,pnb,indo1319,Indo-European
708,Tamil,NA,10.520219,78.825989,tami1289,tam,drav1251,Dravidian
807,Wa,NA,23.1024,99.108,nucl1290,wbm,aust1305,Austroasiatic
811,Paliu,NA,24.7013,104.955,boly1239,ply,aust1305,Austroasiatic
815,Cuoi,NA,NA,NA,cuoi1242,hnu,aust1305,Austroasiatic
816,Vietnamese,NA,18.3887,106.757,viet1252,vie,aust1305,Austroasiatic
819,LiHa,NA,NA,NA,cuoi1242,hnu,aust1305,Austroasiatic
