Form,englishPOS,Pron.ID,Freq,Lemma.ID,Number.Of.Pronunciations,Status.Of.Pronunciation,phon,Syllable.Structure,CELEX.Syllables,Number.Of.Syllables,SUBTFreq,language
join,verb,47084,293,24459,1,P,_4n,[CVVC],[dZOIn],1,83.43,English
resort,noun,73616,293,38476,2,P,rI-z$t,[CV][CVVC],[rI][zO:t],2,6.9,English
brandy,noun,9455,291,5035,1,P,br{n-dI,[CCVC][CV],[br&n][dI],2,11.12,English
stretching,verb,86558,291,44945,1,P,strE-JIN,[CCCV][CVC],[strE][tSIN],2,2.22,English
glimpse,noun,37347,290,19070,2,P,glImps,[CCVCCC],[glImps],1,3.35,English
insects,noun,45259,290,23436,1,P,In-sEkts,[VC][CVCCC],[In][sEkts],2,3.1,English
noon,noun,58219,290,30448,1,P,nun,[CVVC],[nu:n],1,18.12,English
sucking,verb,87368,290,45338,1,P,sV-kIN,[CV][CVC],[sV][kIN],2,7.37,English
bureau,noun,10872,289,5685,2,P,bj9-r5,[CCVV][CVV],[bjU@][r@U],2,11.14,English
option,noun,59690,289,31379,1,P,Qp-SH,[VC][CS],"[Op][Sn,]",2,14.43,English
finished,verb,32679,287,16720,1,P,fI-nISt,[CV][CVCC],[fI][nISt],2,83.71,English
witches,noun,99446,287,51832,1,P,wI-JIz,[CV][CVC],[wI][tSIz],2,10.45,English
moustache,noun,56245,286,29293,2,P,m@-st#S,[CV][CCVVC],[m@][stA:S],2,3.78,English
negro,noun,57430,286,29953,1,P,ni-gr5,[CVV][CCVV],[ni:][gr@U],2,5.37,English
petrol,noun,63606,286,33434,3,P,pE-tr@l,[CV][CCVC],[pE][tr@l],2,1.57,English
rifle,noun,74480,286,38892,1,P,r2-fP,[CVV][CS],"[raI][fl,]",2,14.57,English
champagne,noun,13487,285,6975,2,P,"""S{m-p1n",[CVC][CVVC],[S&m][peIn],2,31.29,English
highway,noun,41464,285,21190,1,P,h2-w1,[CVV][CVV],[haI][weI],2,17.86,English
pavement,noun,62421,285,32776,1,P,p1v-m@nt,[CVVC][CVCC],[peIv][m@nt],2,2.02,English
shower,noun,80215,285,41846,1,P,S6-@R,[CVV][VC],[SaU][@r*],2,41.12,English
sickness,noun,80522,285,41978,2,P,sIk-nIs,[CVC][CVC],[sIk][nIs],2,7.94,English
checking,verb,13869,284,7150,1,P,JE-kIN,[CV][CVC],[tSE][kIN],2,32.47,English
decide,verb,22166,284,11410,1,P,dI-s2d,[CV][CVVC],[dI][saId],2,50.41,English
feathers,noun,31855,284,16300,1,P,fE-D@z,[CV][CVC],[fE][D@z],2,5.71,English
grammar,noun,38235,284,19475,1,P,gr{-m@R,[CCV][CVC],[gr&][m@r*],2,2.39,English
prestige,noun,67436,284,35423,1,P,prE-stiZ,[CCV][CCVVC],[prE][sti:Z],2,1.37,English
tactics,noun,88897,284,46135,1,P,t{k-tIks,[CVC][CVCC],[t&k][tIks],2,4.73,English
contents,noun,18251,283,9399,1,P,kQn-tEnts,[CVC][CVCCC],[kOn][tEnts],2,4.29,English
socks,noun,82967,283,43150,1,P,sQks,[CVCC],[sOks],1,18.27,English
fiction,noun,32250,282,16505,1,P,fIk-SH,[CVC][CS],"[fIk][Sn,]",2,6.08,English
fragments,noun,34892,282,17802,1,P,fr{g-m@nts,[CCVC][CVCCC],[fr&g][m@nts],2,2.65,English
pants,noun,61532,282,32290,1,P,p{nts,[CVCCC],[p&nts],1,58.75,English
treaty,noun,92949,282,48221,1,P,tri-tI,[CCVV][CV],[tri:][tI],2,4.69,English
bunch,noun,10758,281,5637,2,P,bVnJ,[CVCC],[bVntS],1,58.88,English
package,noun,61017,281,32035,1,P,p{-kI_,[CV][CVC],[p&][kIdZ],2,22.78,English
salad,noun,76414,281,39859,1,P,s{-l@d,[CV][CVC],[s&][l@d],2,17.02,English
sticking,verb,85804,281,44586,1,P,stI-kIN,[CCV][CVC],[stI][kIN],2,14.53,English
answered,verb,2708,280,1555,1,P,#n-s@d,[VVC][CVC],[A:n][s@d],2,15.2,English
drawings,noun,26616,280,13586,1,P,dr$-INz,[CCVV][VCC],[drO:][INz],2,4.55,English
elbow,noun,28174,280,14386,1,P,El-b5,[VC][CVV],[El][b@U],2,6.14,English
trout,noun,93421,280,48454,1,P,tr6t,[CCVVC],[traUt],1,4.02,English
custom,noun,21193,279,10890,1,P,kV-st@m,[CV][CCVC],[kV][st@m],2,6.2,English
posture,noun,66418,279,34909,2,P,pQs-J@R,[CVC][CVC],[pOs][tS@r*],2,1.73,English
rats,noun,71075,279,37284,1,P,r{ts,[CVCC],[r&ts],1,16.63,English
grief,noun,38616,278,19691,1,P,grif,[CCVVC],[gri:f],1,10.82,English
prove,verb,68697,278,36100,1,P,pruv,[CCVVC],[pru:v],1,70.39,English
towel,noun,92264,278,47886,2,P,t6-@l,[CVV][VC],[taU][@l],2,14.16,English
acid,noun,569,277,308,1,P,{-sId,[V][CVC],[&][sId],2,9.96,English
canvas,noun,12094,277,6247,1,P,k{n-v@s,[CVC][CVC],[k&n][v@s],2,4.24,English
mercy,noun,53939,277,28058,1,P,m3-sI,[CVV][CV],[m3:][sI],2,25.31,English
worry,verb,99886,277,52070,1,P,wV-rI,[CV][CV],[wV][rI],2,287.02,English
curve,noun,21156,276,10871,1,P,k3v,[CVVC],[k3:v],1,4.61,English
fury,noun,35897,276,18342,2,P,fj9-rI,[CCVV][CV],[fjU@][rI],2,3.82,English
pencil,noun,62880,276,33018,1,P,pEn-sP,[CVC][CS],"[pEn][sl,]",2,9.86,English
bronze,noun,10168,275,5374,1,P,brQnz,[CCVCC],[brOnz],1,2.8,English
mistress,noun,55188,275,28719,2,P,mI-strIs,[CV][CCCVC],[mI][strIs],2,11.88,English
chaos,noun,13580,274,7018,2,P,k1-Qs,[CVV][VC],[keI][Os],2,9.39,English
pills,noun,64308,274,33813,1,P,pIlz,[CVCC],[pIlz],1,24.82,English
beef,noun,6295,273,3511,1,P,bif,[CVVC],[bi:f],1,19.71,English
complaints,noun,17042,273,8779,1,P,k@m-pl1nts,[CVC][CCVVCCC],[k@m][pleInts],2,6.84,English
settled,verb,79103,273,41296,1,P,sE-tPd,[CV][CSC],"[sE][tl,d]",2,19.43,English
statue,noun,85460,273,44420,2,P,st{-Ju,[CCV][CVV],[st&][tSu:],2,10.59,English
ballet,noun,5167,272,2955,2,P,b{-l1,[CV][CVV],[b&][leI],2,10.25,English
classroom,noun,15025,272,7763,2,P,kl#s-rUm,[CCVVC][CVC],[klA:s][rUm],2,4.45,English
concert,noun,17278,272,8908,1,P,kQn-s@t,[CVC][CVC],[kOn][s@t],2,17.55,English
drawer,noun,26592,272,13582,1,P,dr$-@R,[CCVV][VC],[drO:][@r*],2,13,English
earl,noun,27579,272,14039,1,P,3l,[VVC],[3:l],1,20.43,English
hint,noun,41544,272,21232,1,P,hInt,[CVCC],[hInt],1,9.2,English
hips,noun,41576,272,21237,1,P,hIps,[CVCC],[hIps],1,6.06,English
sauce,noun,76903,272,40118,1,P,s$s,[CVVC],[sO:s],1,15.59,English
temper,noun,89954,272,46657,1,P,tEm-p@R,[CVC][CVC],[tEm][p@r*],2,11.41,English
clinic,noun,15290,271,7890,1,P,klI-nIk,[CCV][CVC],[klI][nIk],2,14,English
roses,noun,75316,271,39303,1,P,r5-zIz,[CVV][CVC],[r@U][zIz],2,14.18,English
basin,noun,5752,270,3249,1,P,b1-sH,[CVV][CS],"[beI][sn,]",2,1.88,English
breakdown,noun,9593,270,5111,1,P,br1k-d6n,[CCVVC][CVVC],[breIk][daUn],2,7.31,English
cupboard,noun,20966,270,10774,1,P,kV-b@d,[CV][CVC],[kV][b@d],2,2.49,English
gaze,noun,36542,270,18657,1,P,g1z,[CVVC],[geIz],1,2.53,English
renting,verb,73059,270,38215,1,P,rEn-tIN,[CVC][CVC],[rEn][tIN],2,3.18,English
secrets,noun,78254,270,40779,2,P,si-krIts,[CVV][CCVCC],[si:][krIts],2,23.86,English
guidance,noun,39080,269,19909,1,P,g2-dHs,[CVV][CSC],"[gaI][dn,s]",2,7.37,English
copper,noun,18758,268,9675,1,P,kQ-p@R,[CV][CVC],[kO][p@r*],2,6.59,English
dusk,noun,27398,268,13940,1,P,dVsk,[CVCC],[dVsk],1,1.2,English
gin,noun,37077,268,18941,1,P,_In,[CVC],[dZIn],1,11.27,English
laying,verb,49150,268,25486,1,P,l1-IN,[CVV][VC],[leI][IN],2,11.14,English
mayor,noun,53437,268,27776,1,P,m8R,[CVVC],[mE@r*],1,31.27,English
create,verb,20052,266,10320,2,P,kri-1t,[CCVV][VVC],[kri:][eIt],2,25.27,English
forming,verb,34560,266,17606,1,P,f$-mIN,[CVV][CVC],[fO:][mIN],2,2.75,English
gloves,noun,37465,266,19123,1,P,glVvz,[CCVCC],[glVvz],1,16.24,English
lords,noun,51448,265,26668,1,P,l$dz,[CVVCC],[lO:dz],1,3.43,English
chess,noun,14011,264,7231,1,P,JEs,[CVC],[tSEs],1,7.45,English
easter,noun,27697,264,14102,1,P,i-st@R,[VV][CCVC],[i:][st@r*],2,7.49,English
flame,noun,33117,264,16948,1,P,fl1m,[CCVVC],[fleIm],1,9.04,English
impulse,noun,43975,264,22589,1,P,Im-pVls,[VC][CVCC],[Im][pVls],2,5.27,English
quarters,noun,70070,264,36813,1,P,kw$-t@z,[CCVV][CVC],[kwO:][t@z],2,16.16,English
tube,noun,93614,264,48553,1,P,tjub,[CCVVC],[tju:b],1,16.43,English
hate,verb,40353,263,20561,1,P,h1t,[CVVC],[heIt],1,214.59,English
nails,noun,56947,263,29651,1,P,n1lz,[CVVCC],[neIlz],1,11.04,English
boom,noun,8804,262,4731,1,P,bum,[CVVC],[bu:m],1,21.8,English
monster,noun,55699,262,29005,1,P,mQn-st@R,[CVC][CCVC],[mOn][st@r*],2,38.86,English
senate,noun,78706,261,41077,2,P,sE-nIt,[CV][CVC],[sE][nIt],2,6.49,English
bitch,noun,7430,260,4068,1,P,bIJ,[CVC],[bItS],1,168.8,English
heading,verb,40556,260,20655,1,P,hE-dIN,[CV][CVC],[hE][dIN],2,33.47,English
boredom,noun,8932,259,4792,1,P,b$-d@m,[CVV][CVC],[bO:][d@m],2,2.14,English
poem,noun,65546,259,34438,3,P,p5-Im,[CVV][VC],[p@U][Im],2,13.65,English
findings,noun,32606,258,16683,1,P,f2n-dINz,[CVVC][CVCC],[faIn][dINz],2,2.69,English
joints,noun,47110,258,24463,1,P,_4nts,[CVVCCC],[dZOInts],1,3.82,English
lungs,noun,51838,258,26883,1,P,lVNz,[CVCC],[lVNz],1,10.59,English
afford,verb,1249,257,690,1,P,@-f$d,[V][CVVC],[@][fO:d],2,44.43,English
circus,noun,14768,257,7625,1,P,s3-k@s,[CVV][CVC],[s3:][k@s],2,17.06,English
nerve,noun,57495,257,29997,1,P,n3v,[CVVC],[n3:v],1,22.96,English
pond,noun,65958,257,34661,1,P,pQnd,[CVCC],[pOnd],1,6.33,English
prevent,verb,67536,257,35479,2,P,prI-vEnt,[CCV][CVCC],[prI][vEnt],2,13.06,English
carbon,noun,12261,256,6338,2,P,k#-b@n,[CVV][CVC],[kA:][b@n],2,5.24,English
courtyard,noun,19623,255,10112,1,P,k$t-j#d,[CVVC][CVVC],[kO:t][jA:d],2,2.14,English
actress,noun,710,254,389,3,P,{k-trIs,[VC][CCVC],[&k][trIs],2,16.02,English
jungle,noun,47389,254,24612,1,P,_VN-gP,[CVC][CS],"[dZVN][gl,]",2,22.57,English
mum,noun,56575,254,29450,1,P,mVm,[CVC],[mVm],1,21.73,English
oak,noun,58705,254,30749,1,P,5k,[VVC],[@Uk],1,5.61,English
parking,noun,61815,254,32453,1,P,p#-kIN,[CVV][CVC],[pA:][kIN],2,27.04,English
pistol,noun,64605,254,33970,1,P,pI-stP,[CV][CCS],"[pI][stl,]",2,10.06,English
resource,noun,73632,254,38482,4,P,rI-s$s,[CV][CVVC],[rI][sO:s],2,1.63,English
scent,noun,77290,254,40308,1,P,sEnt,[CVCC],[sEnt],1,5.96,English
widow,noun,99016,254,51620,1,P,wI-d5,[CV][CVV],[wI][d@U],2,12.1,English
barrel,noun,5655,253,3199,2,P,b{-r@l,[CV][CVC],[b&][r@l],2,10.63,English
bending,verb,6677,253,3688,1,P,bEn-dIN,[CVC][CVC],[bEn][dIN],2,2.39,English
clients,noun,15233,253,7862,1,P,kl2-@nts,[CCVV][VCCC],[klaI][@nts],2,21,English
lightning,noun,50255,253,26062,1,P,l2t-nIN,[CVVC][CVC],[laIt][nIN],2,14.14,English
parlour,noun,61845,253,32470,1,P,p#-l@R,[CVV][CVC],[pA:][l@r*],2,1.76,English
hitting,verb,41656,252,21275,1,P,hI-tIN,[CV][CVC],[hI][tIN],2,23.53,English
index,noun,44453,252,22931,1,P,In-dEks,[VC][CVCC],[In][dEks],2,2.08,English
miners,noun,54670,252,28481,1,P,m2-n@z,[CVV][CVC],[maI][n@z],2,3.47,English
snake,noun,82477,251,42925,1,P,sn1k,[CCVVC],[sneIk],1,22.35,English
sphere,noun,84039,250,43744,1,P,sf7R,[CCVVC],[sfI@r*],1,2.47,English
wondered,verb,99588,250,51911,1,P,wVn-d@d,[CVC][CVC],[wVn][d@d],2,14.9,English
assets,noun,3956,249,2277,2,P,{-sEts,[V][CVCC],[&][sEts],2,5.1,English
foe,noun,33916,249,17315,1,P,f5,[CVV],[f@U],1,1.84,English
legend,noun,49595,249,25704,2,P,lE-_@nd,[CV][CVCC],[lE][dZ@nd],2,17.16,English
shelves,noun,79659,249,41567,1,P,SElvz,[CVCCC],[SElvz],1,2.75,English
essay,noun,29815,248,15197,2,P,E-s1,[V][CVV],[E][seI],2,6.14,English
tomb,noun,91749,248,47637,1,P,tum,[CVVC],[tu:m],1,5.63,English
designed,verb,23468,247,12023,1,P,dI-z2nd,[CV][CVVCC],[dI][zaInd],2,17.53,English
pillow,noun,64296,247,33823,1,P,pI-l5,[CV][CVV],[pI][l@U],2,11.39,English
lid,noun,50056,246,25953,1,P,lId,[CVC],[lId],1,4.92,English
packet,noun,61039,246,32044,1,P,p{-kIt,[CV][CVC],[p&][kIt],2,2.51,English
shark,noun,79496,246,41495,1,P,S#k,[CVVC],[SA:k],1,14.98,English
managed,verb,52531,245,27275,1,P,m{-nI_d,[CV][CVCC],[m&][nIdZd],2,16.59,English
eyebrows,noun,30995,244,15848,1,P,2-br6z,[VV][CCVVC],[aI][braUz],2,3.29,English
mate,noun,53265,244,27676,1,P,m1t,[CVVC],[meIt],1,29.24,English
creek,noun,20118,243,10359,1,P,krik,[CCVVC],[kri:k],1,8.9,English
females,noun,32045,243,16392,1,P,fi-m1lz,[CVV][CVVCC],[fi:][meIlz],2,3.39,English
hunters,noun,42857,243,21936,1,P,hVn-t@z,[CVC][CVC],[hVn][t@z],2,4.84,English
fraction,noun,34869,242,17792,1,P,fr{k-SH,[CCVC][CS],"[fr&k][Sn,]",2,2.04,English
homo,noun,42003,242,21469,1,P,h5-m5,[CVV][CVV],[h@U][m@U],2,3.71,English
liver,noun,50769,242,26347,1,P,lI-v@R,[CV][CVC],[lI][v@r*],2,14.29,English
rumours,noun,75867,242,39578,1,P,ru-m@z,[CVV][CVC],[ru:][m@z],2,2.63,English
dozens,noun,26425,241,13505,1,P,dV-zHz,[CV][CSC],"[dV][zn,z]",2,5.49,English
script,noun,77782,241,40540,1,P,skrIpt,[CCCVCC],[skrIpt],1,19.61,English
stance,noun,85190,241,44281,2,P,st{ns,[CCVCC],[st&ns],1,1.88,English
summit,noun,87585,241,45458,1,P,sV-mIt,[CV][CVC],[sV][mIt],2,3.33,English
taught,verb,89507,241,46472,1,P,t$t,[CVVC],[tO:t],1,43.84,English
fleet,noun,33315,240,17041,1,P,flit,[CCVVC],[fli:t],1,10.59,English
jackal,noun,46556,240,24184,3,P,_{-k$l,[CV][CVVC],[dZ&][kO:l],2,1.59,English
organ,noun,59822,239,31451,1,P,$-g@n,[VV][CVC],[O:][g@n],2,7.25,English
chart,noun,13714,238,7088,1,P,J#t,[CVVC],[tSA:t],1,9.47,English
ladder,noun,48418,238,25129,1,P,l{-d@R,[CV][CVC],[l&][d@r*],2,9.25,English
rays,noun,71189,238,37375,1,P,r1z,[CVVC],[reIz],1,4.33,English
bucket,noun,10394,237,5471,1,P,bV-kIt,[CV][CVC],[bV][kIt],2,10.02,English
dishes,noun,24937,237,12748,1,P,dI-SIs,[CV][CVC],[dI][SIs],2,11.86,English
fringe,noun,35339,237,18056,2,P,frIn_,[CCVCC],[frIndZ],1,1.67,English
guess,verb,39054,237,19899,1,P,gEs,[CVC],[gEs],1,453.98,English
herr,noun,41177,237,21021,1,P,h8R,[CVVC],[hE@r*],1,10.92,English
mask,noun,53097,237,27585,1,P,m#sk,[CVVCC],[mA:sk],1,19.8,English
midst,noun,54360,237,28307,2,P,mIdst,[CVCCC],[mIdst],1,3.43,English
nest,noun,57524,237,30015,1,P,nEst,[CVCC],[nEst],1,11.1,English
sword,noun,88573,237,45961,1,P,s$d,[CVVC],[sO:d],1,26.18,English
tunnel,noun,93755,237,48627,1,P,tV-nP,[CV][CS],"[tV][nl,]",2,17.88,English
circuit,noun,14703,236,7592,1,P,s3-kIt,[CVV][CVC],[s3:][kIt],2,6.67,English
mentioned,verb,53887,236,28026,1,P,mEn-SHd,[CVC][CSC],"[mEn][Sn,d]",2,30.51,English
meadows,noun,53462,235,27791,1,P,mE-d5z,[CV][CVVC],[mE][d@Uz],2,1.84,English
pilot,noun,64309,235,33828,1,P,p2-l@t,[CVV][CVC],[paI][l@t],2,26.67,English
placed,verb,64753,235,34047,1,P,pl1st,[CCVVCC],[pleIst],1,12.22,English
nightmare,noun,57844,234,30204,1,P,n2t-m8R,[CVVC][CVVC],[naIt][mE@r*],2,22.39,English
admit,verb,952,233,519,1,P,@d-mIt,[VC][CVC],[@d][mIt],2,59.2,English
cigar,noun,14639,233,7557,1,P,sI-g#R,[CV][CVVC],[sI][gA:r*],2,12.94,English
kicking,verb,47732,233,24778,1,P,kI-kIN,[CV][CVC],[kI][kIN],2,15.59,English
lemon,noun,49668,233,25745,1,P,lE-m@n,[CV][CVC],[lE][m@n],2,12.02,English
madness,noun,52089,232,27018,2,P,m{d-nIs,[CVC][CVC],[m&d][nIs],2,8.45,English
parade,noun,61617,232,32342,1,P,p@-r1d,[CV][CVVC],[p@][reId],2,12.88,English
reflects,verb,72220,232,37839,2,P,rI-flEkts,[CV][CCVCCC],[rI][flEkts],2,1.53,English
replied,verb,73212,232,38290,2,P,rI-pl2d,[CV][CCVVC],[rI][plaId],2,1.16,English
carriage,noun,12486,231,6460,1,P,k{-rI_,[CV][CVC],[k&][rIdZ],2,7.47,English
refused,verb,72342,231,37899,2,P,rI-fjuzd,[CV][CCVVCC],[rI][fju:zd],2,12.94,English
schedule,noun,77305,231,40317,6,P,SE-djul,[CV][CCVVC],[SE][dju:l],2,29.76,English
bullet,noun,10634,229,5578,1,P,bU-lIt,[CV][CVC],[bU][lIt],2,38.24,English
climb,verb,15258,229,7878,1,P,kl2m,[CCVVC],[klaIm],1,19.75,English
commerce,noun,16742,229,8613,1,P,kQ-m3s,[CV][CVVC],[kO][m3:s],2,3.47,English
frontier,noun,35438,229,18106,7,P,"frVn-""t7R",[CCVC][CVVC],[frVn][tI@r*],2,3.27,English
jeans,noun,46778,229,24297,1,P,_inz,[CVVCC],[dZi:nz],1,6.61,English
mist,noun,55146,229,28700,1,P,mIst,[CVCC],[mIst],1,3.55,English
rushing,verb,76057,229,39653,1,P,rV-SIN,[CV][CVC],[rV][SIN],2,6.02,English
discuss,verb,24790,228,12687,1,P,dI-skVs,[CV][CCVC],[dI][skVs],2,45.67,English
greeks,noun,38519,228,19633,1,P,griks,[CCVVCC],[gri:ks],1,2.88,English
pit,noun,64611,228,33973,1,P,pIt,[CVC],[pIt],1,13.22,English
rubbing,verb,75676,228,39470,1,P,rV-bIN,[CV][CVC],[rV][bIN],2,4.73,English
claiming,verb,14855,227,7675,1,P,kl1-mIN,[CCVV][CVC],[kleI][mIN],2,4.16,English
gaining,verb,36055,227,18422,1,P,g1-nIN,[CVV][CVC],[geI][nIN],2,3.78,English
genes,noun,36683,227,18703,1,P,_inz,[CVVCC],[dZi:nz],1,2.88,English
maid,noun,52206,227,27091,1,P,m1d,[CVVC],[meId],1,22.82,English
restraint,noun,73764,226,38553,2,P,rI-str1nt,[CV][CCCVVCC],[rI][streInt],2,2.57,English
cage,noun,11452,225,5959,1,P,k1_,[CVVC],[keIdZ],1,20.27,English
pie,noun,64118,225,33727,1,P,p2,[CVV],[paI],1,28.75,English
porch,noun,66131,225,34756,1,P,p$J,[CVVC],[pO:tS],1,9.63,English
basement,noun,5721,224,3232,1,P,b1s-m@nt,[CVVC][CVCC],[beIs][m@nt],2,21.06,English
fabric,noun,31050,224,15884,1,P,f{-brIk,[CV][CCVC],[f&][brIk],2,4.8,English
refuge,noun,72320,224,37890,1,P,rE-fju_,[CV][CCVVC],[rE][fju:dZ],2,2.45,English
customs,noun,21204,223,10898,1,P,kV-st@mz,[CV][CCVCC],[kV][st@mz],2,6.39,English
footsteps,noun,34204,223,17450,1,P,fUt-stEps,[CVC][CCVCC],[fUt][stEps],2,6.31,English
jaw,noun,46741,222,24280,1,P,_$,[CVV],[dZO:],1,7.14,English
jet,noun,46886,222,24354,1,P,_Et,[CVC],[dZEt],1,14.14,English
staircase,noun,85077,222,44231,1,P,st8-k1s,[CCVV][CVVC],[stE@][keIs],2,1.75,English
mines,noun,54671,221,28472,1,P,m2nz,[CVVCC],[maInz],1,6.2,English
applause,noun,3115,220,1798,1,P,@-pl$z,[V][CCVVC],[@][plO:z],2,11.29,English
mention,verb,53884,220,28025,1,P,mEn-SH,[CVC][CS],"[mEn][Sn,]",2,59.47,English
scandal,noun,77151,220,40239,1,P,sk{n-dP,[CCVC][CS],"[sk&n][dl,]",2,8.12,English
suitcase,noun,87486,220,45406,2,P,sut-k1s,[CVVC][CVVC],[su:t][keIs],2,13.39,English
dressed,verb,26742,219,13636,1,P,drEst,[CCVCC],[drEst],1,46.94,English
ridge,noun,74427,219,38869,1,P,rI_,[CVC],[rIdZ],1,7.08,English
marines,noun,52879,218,27464,1,P,m@-rinz,[CV][CVVCC],[m@][ri:nz],2,9.63,English
princess,noun,67755,217,35589,3,P,prIn-sEs,[CCVC][CVC],[prIn][sEs],2,39.59,English
riots,noun,74672,217,38992,1,P,r2-@ts,[CVV][VCC],[raI][@ts],2,2.37,English
fork,noun,34499,215,17592,1,P,f$k,[CVVC],[fO:k],1,8.82,English
insight,noun,45311,215,23478,1,P,In-s2t,[VC][CVVC],[In][saIt],2,2.8,English
mode,noun,55354,215,28807,1,P,m5d,[CVVC],[m@Ud],1,5.16,English
nylon,noun,58683,214,30733,2,P,n2-lQn,[CVV][CVC],[naI][lOn],2,1.35,English
spokesman,noun,84377,214,43903,1,P,sp5ks-m@n,[CCVVCC][CVC],[sp@Uks][m@n],2,1.18,English
earning,verb,27618,213,14054,1,P,3-nIN,[VV][CVC],[3:][nIN],2,2.57,English
grade,noun,38200,213,19457,1,P,gr1d,[CCVVC],[greId],1,29.27,English
protect,verb,68603,212,36045,2,P,pr@-tEkt,[CCV][CVCC],[pr@][tEkt],2,70.25,English
canal,noun,11883,211,6143,1,P,k@-n{l,[CV][CVC],[k@][n&l],2,6.39,English
distress,noun,25471,211,13010,1,P,dI-strEs,[CV][CCCVC],[dI][strEs],2,7.27,English
enter,verb,29277,211,14905,1,P,En-t@R,[VC][CVC],[En][t@r*],2,29.73,English
playground,noun,65034,211,34200,1,P,pl1-gr6nd,[CCVV][CCVVCC],[pleI][graUnd],2,5.1,English
weeds,noun,98102,211,51090,1,P,widz,[CVVCC],[wi:dz],1,2.37,English
depths,noun,23258,210,11936,1,P,dEpTs,[CVCCC],[dEpTs],1,3.1,English
voters,noun,96915,210,50525,1,P,v5-t@z,[CVV][CVC],[v@U][t@z],2,2.08,English
winner,noun,99280,210,51760,1,P,wI-n@R,[CV][CVC],[wI][n@r*],2,31.22,English
angels,noun,2489,209,1432,4,P,1n-_@lz,[VVC][CVCC],[eIn][dZ@lz],2,14.59,English
disgust,noun,24911,209,12735,2,P,dIs-gVst,[CVC][CVCC],[dIs][gVst],2,2.76,English
merchant,noun,53920,209,28044,2,P,m3-J@nt,[CVV][CVCC],[m3:][tS@nt],2,2.86,English
rug,noun,75784,209,39539,1,P,rVg,[CVC],[rVg],1,10.41,English
achieved,verb,557,208,302,1,P,@-Jivd,[V][CVVCC],[@][tSi:vd],2,4.29,English
dragging,verb,26474,208,13526,1,P,dr{-gIN,[CCV][CVC],[dr&][gIN],2,6.57,English
maintain,verb,52278,208,27131,3,P,m1n-t1n,[CVVC][CVVC],[meIn][teIn],2,12.96,English
cereal,noun,13273,207,6864,1,P,s7-r7l,[CVV][CVVC],[sI@][rI@l],2,6.35,English
monsieur,noun,55694,207,29002,2,P,m@-sj3R,[CV][CCVVC],[m@][sj3:r*],2,31.08,English
portion,noun,66211,206,34803,1,P,p$-SH,[CVV][CS],"[pO:][Sn,]",2,4.33,English
velvet,noun,96046,206,50018,1,P,vEl-vIt,[CVC][CVC],[vEl][vIt],2,6.27,English
blade,noun,7629,205,4167,1,P,bl1d,[CCVVC],[bleId],1,13,English
ought,verb,60014,205,31565,1,P,$t,[VVC],[O:t],1,80.75,English
parish,noun,61794,205,32441,1,P,p{-rIS,[CV][CVC],[p&][rIS],2,3.02,English
push,verb,69560,204,36570,1,P,pUS,[CVC],[pUS],1,70.55,English
spine,noun,84128,204,43785,1,P,sp2n,[CCVVC],[spaIn],1,5.75,English
laundry,noun,49048,203,25444,1,P,l$n-drI,[CVVC][CCV],[lO:n][drI],2,19.06,English
revenge,noun,74073,203,38693,4,P,rI-vEn_,[CV][CVCC],[rI][vEndZ],2,19.04,English
kindness,noun,47843,202,24838,4,P,k2nd-nIs,[CVVCC][CVC],[kaInd][nIs],2,9.02,English
marry,verb,53003,202,27532,1,P,m{-rI,[CV][CV],[m&][rI],2,104.35,English
outlook,noun,60192,202,31646,1,P,6t-lUk,[VVC][CVC],[aUt][lUk],2,2.02,English
struck,verb,86752,202,44973,1,P,strVk,[CCCVC],[strVk],1,16.2,English
zone,noun,100595,202,52432,1,P,z5n,[CVVC],[z@Un],1,20.12,English
feast,noun,31833,201,16296,1,P,fist,[CVVCC],[fi:st],1,6.71,English
ideals,noun,43264,201,22151,3,P,2-d7lz,[VV][CVVCC],[aI][dI@lz],2,2.47,English
luggage,noun,51733,201,26832,1,P,lV-gI_,[CV][CVC],[lV][gIdZ],2,11.12,English
spoon,noun,84435,201,43929,1,P,spun,[CCVVC],[spu:n],1,7.61,English
warfare,noun,97427,201,50757,1,P,w$-f8R,[CVV][CVVC],[wO:][fE@r*],2,2.94,English
announced,verb,2642,199,1520,1,P,@-n6nst,[V][CVVCCC],[@][naUnst],2,5.67,English
kettle,noun,47660,199,24750,1,P,kE-tP,[CV][CS],"[kE][tl,]",2,2.8,English
brigade,noun,9868,198,5236,1,P,brI-g1d,[CCV][CVVC],[brI][geId],2,3.2,English
ended,verb,28914,198,14746,1,P,En-dId,[VC][CVC],[En][dId],2,29.63,English
lounge,noun,51504,198,26698,2,P,l6n_,[CVVCC],[laUndZ],1,7.86,English
mummy,noun,56598,198,29460,1,P,mV-mI,[CV][CV],[mV][mI],2,9.8,English
pudding,noun,69029,198,36311,1,P,pU-dIN,[CV][CVC],[pU][dIN],2,6.16,English
fossil,noun,34677,197,17699,2,P,fQ-sP,[CV][CS],"[fO][sl,]",2,1.55,English
owns,verb,60920,197,31969,1,P,5nz,[VVCC],[@Unz],1,19.14,English
texture,noun,90334,197,46875,1,P,tEks-J@R,[CVCC][CVC],[tEks][tS@r*],2,1.65,English
