ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,familyID,familyName,Morph+AC0-marker+AC0-Action,COMMENT,
229,Tsimshian,NA,54.6214,+AC0-130.496,nucl1649,tsi,tsim1258,Tsimshian,FALSE,,
237,Marquesan,NA,+AC0-9.75663,+AC0-138.979,sout2866,mqm,aust1307,Austronesian,FALSE,,
250,Yuwana,NA,5.63879,+AC0-65.4267,yuwa1244,yau,jodi1234,Jodi+AC0-Saliban,FALSE,,
291,Sirion+//0Aw//9ALM-,NA,+AC0-15.5298,+AC0-63.9688,siri1273,srq,tupi1275,Tupian,FALSE,,
415,Sui,NA,24.0488,106.563,suii1243,swi,taik1256,Tai+AC0-Kadai,FALSE,,
424,Sanchong Kelao,NA,22.5632,104.698,gree1278,giq,taik1256,Tai+AC0-Kadai,FALSE,,
801,Bulang,NA,22.0092,99.7405,blan1242,blr,aust1305,Austroasiatic,FALSE,,
803,Bulang+AC0-3,NA,22.0092,99.7405,blan1242,blr,aust1305,Austroasiatic,,,
807,Wa,NA,23.1024,99.108,nucl1290,wbm,aust1305,Austroasiatic,FALSE,,
814,Mlabri,NA,18.5533,101.163,mlab1235,mra,aust1305,Austroasiatic,FALSE,,
822,Tum,NA,NA,NA,cuoi1242,hnu,aust1305,Austroasiatic,FALSE,,
