Form,transcription,englishName,language,englishPOS,ontologicalCategory,semanticField,languageFamily,alt_transcription,alt_form,phon,method
szybki,StandardOrth,"swift, fast, quick",Polish,other,Property,Time,Indo-European,NA,NA,ʂɨbkʲi,epitran
bystry,StandardOrth,"swift, fast, quick",Polish,other,Property,Time,Indo-European,NA,NA,bɨstrɨ,epitran
æвæстиатæй,CyrillTrans,immediately,Ossetic,other,Other,Time,Indo-European,NA,NA,əvəstiatəj,manual(w)
subito,StandardOrth,immediately,Italian,other,Other,Time,Indo-European,NA,NA,subito,epitran
tout de suite,StandardOrth,immediately,French,other,Other,Time,Indo-European,NA,NA,tut də sɥi,epitran
ja,StandardOrth,immediately,Catalan,other,Other,Time,Indo-European,NA,NA,ʒa,epitran
immediatament,StandardOrth,immediately,Catalan,other,Other,Time,Indo-European,NA,NA,imːɛdiatamɛnt,epitran
de imediato,StandardOrth,immediately,Portuguese,other,Other,Time,Indo-European,NA,NA,dɛ imɛdiɐto,epitran
îndată,StandardOrth,immediately,Romanian,other,Other,Time,Indo-European,NA,NA,ɨndatə,epitran
snart,StandardOrth,immediately,Swedish,other,Other,Time,Indo-European,NA,NA,snɐrt,epitran
strax,StandardOrth,immediately,Swedish,other,Other,Time,Indo-European,NA,NA,strɑːks,epitran
genast,StandardOrth,immediately,Swedish,other,Other,Time,Indo-European,NA,NA,jeːnɐst,epitran
dadelijk,StandardOrth,immediately,Dutch,other,Other,Time,Indo-European,NA,NA,daːdeːlɛjk,epitran
