Form,transcription,englishName,language,englishPOS,ontologicalCategory,semanticField,languageFamily,alt_transcription,alt_form,phon,method
jüngerer Bruder,StandardOrth,younger brother,German,noun,Person/Thing,Kinship,Indo-European,Original (M. R. Key),NA,jyŋeːrər pruːdər,epitran
kleiner Bruder,StandardOrth,younger brother,German,noun,Person/Thing,Kinship,Indo-European,Original (M. R. Key),NA,klajeːnər pruːdər,epitran
młodszy brat,StandardOrth,younger brother,Polish,noun,Person/Thing,Kinship,Indo-European,NA,NA,mwɔdʂɨ brat,epitran
хистæр æфсымæр,CyrillTrans,older brother,Ossetic,noun,Person/Thing,Kinship,Indo-European,NA,NA,χistər əfsɨmər,manual(w)
fratello maggiore,StandardOrth,older brother,Italian,noun,Person/Thing,Kinship,Indo-European,NA,NA,fratelːo mad͡ʒːore,epitran
frêre aîné,StandardOrth,older brother,French,noun,Person/Thing,Kinship,Indo-European,NA,NA,frɛrə ɛne,epitran
germà gran,StandardOrth,older brother,Catalan,noun,Person/Thing,Kinship,Indo-European,NA,NA,ʒɛɾma ɡɾan,epitran
irmão mais velho,StandardOrth,older brother,Portuguese,noun,Person/Thing,Kinship,Indo-European,NA,NA,iɾmɐ̃w̃ majs vɛlo,epitran
äldre bror,StandardOrth,older brother,Swedish,noun,Person/Thing,Kinship,Indo-European,NA,NA,ɛldreː bruːr,epitran
oudere broer,StandardOrth,older brother,Dutch,noun,Person/Thing,Kinship,Indo-European,NA,NA,ɑwʏdeːrɛ pruːr,epitran
älterer Bruder,StandardOrth,older brother,German,noun,Person/Thing,Kinship,Indo-European,Original (M. R. Key),NA,elteːrər pruːdər,epitran
großer Bruder,StandardOrth,older brother,German,noun,Person/Thing,Kinship,Indo-European,Original (M. R. Key),NA,krosər pruːdər,epitran
starszy brat,StandardOrth,older brother,Polish,noun,Person/Thing,Kinship,Indo-European,NA,NA,starʂɨ brat,epitran
æфсымæр,CyrillTrans,brother,Ossetic,noun,Person/Thing,Kinship,Indo-European,NA,NA,əfsɨmər,manual(w)
fratello,StandardOrth,brother,Italian,noun,Person/Thing,Kinship,Indo-European,NA,NA,fratelːo,epitran
frère,StandardOrth,brother,French,noun,Person/Thing,Kinship,Indo-European,NA,NA,frɛr,epitran
germà,StandardOrth,brother,Catalan,noun,Person/Thing,Kinship,Indo-European,NA,NA,ʒɛɾma,epitran
irmão,StandardOrth,brother,Portuguese,noun,Person/Thing,Kinship,Indo-European,NA,NA,iɾmɐ̃w̃,epitran
frate,StandardOrth,brother,Romanian,noun,Person/Thing,Kinship,Indo-European,NA,NA,frate,epitran
broder,StandardOrth,brother,Swedish,noun,Person/Thing,Kinship,Indo-European,NA,NA,bruːdeːr,epitran
bror,StandardOrth,brother,Swedish,noun,Person/Thing,Kinship,Indo-European,NA,NA,bruːr,epitran
broer,StandardOrth,brother,Dutch,noun,Person/Thing,Kinship,Indo-European,NA,NA,pruːr,epitran
broeder,StandardOrth,brother,Dutch,noun,Person/Thing,Kinship,Indo-European,NA,NA,pruːɛdɛr,epitran
Bruder,StandardOrth,brother,German,noun,Person/Thing,Kinship,Indo-European,Original (M. R. Key),NA,pruːdər,epitran
brat,StandardOrth,brother,Polish,noun,Person/Thing,Kinship,Indo-European,NA,NA,brat,epitran
зæнæг,CyrillTrans,offspring (son or daughter),Ossetic,noun,Person/Thing,Kinship,Indo-European,NA,NA,zənəɡ,manual(w)
цæуæт,CyrillTrans,offspring (son or daughter),Ossetic,noun,Person/Thing,Kinship,Indo-European,NA,NA,t͡səwæt,manual(w)
зæйц,CyrillTrans,offspring (son or daughter),Ossetic,noun,Person/Thing,Kinship,Indo-European,NA,NA,zəjt͡s,manual(w)
figlio,StandardOrth,offspring (son or daughter),Italian,noun,Person/Thing,Kinship,Indo-European,NA,NA,fiʎo,epitran
figlia,StandardOrth,offspring (son or daughter),Italian,noun,Person/Thing,Kinship,Indo-European,NA,NA,fiʎa,epitran
enfant,StandardOrth,offspring (son or daughter),French,noun,Person/Thing,Kinship,Indo-European,NA,NA,ɛnfan,epitran
fill,StandardOrth,offspring (son or daughter),Catalan,noun,Person/Thing,Kinship,Indo-European,NA,NA,fiʎ,epitran
filla,StandardOrth,offspring (son or daughter),Catalan,noun,Person/Thing,Kinship,Indo-European,NA,NA,fiʎa,epitran
filhos,StandardOrth,offspring (son or daughter),Portuguese,noun,Person/Thing,Kinship,Indo-European,NA,NA,filoʃ,epitran
prole,StandardOrth,offspring (son or daughter),Portuguese,noun,Person/Thing,Kinship,Indo-European,NA,NA,pɾolɛ,epitran
av-komma,StandardOrth,offspring (son or daughter),Swedish,noun,Person/Thing,Kinship,Indo-European,NA,NA,ɑːv-kɔmɑː,epitran
ättling,StandardOrth,offspring (son or daughter),Swedish,noun,Person/Thing,Kinship,Indo-European,NA,NA,ɛtlɪŋ,epitran
kind,StandardOrth,offspring (son or daughter),Dutch,noun,Person/Thing,Kinship,Indo-European,NA,NA,kɪnt,epitran
Kind,StandardOrth,offspring (son or daughter),German,noun,Person/Thing,Kinship,Indo-European,Original (M. R. Key),NA,kint,epitran
potomstwo,StandardOrth,offspring (son or daughter),Polish,noun,Person/Thing,Kinship,Indo-European,NA,NA,pɔtɔmstvɔ,epitran
чызг,CyrillTrans,daughter,Ossetic,noun,Person/Thing,Kinship,Indo-European,NA,NA,t͡ʃɨzɡ,manual(w)
figlia,StandardOrth,daughter,Italian,noun,Person/Thing,Kinship,Indo-European,NA,NA,fiʎa,epitran
fille,StandardOrth,daughter,French,noun,Person/Thing,Kinship,Indo-European,NA,NA,fij,epitran
filla,StandardOrth,daughter,Catalan,noun,Person/Thing,Kinship,Indo-European,NA,NA,fiʎa,epitran
filha,StandardOrth,daughter,Portuguese,noun,Person/Thing,Kinship,Indo-European,NA,NA,filɐ,epitran
fĭcă,StandardOrth,daughter,Romanian,noun,Person/Thing,Kinship,Indo-European,NA,NA,fĭkə,epitran
dotter,StandardOrth,daughter,Swedish,noun,Person/Thing,Kinship,Indo-European,NA,NA,dɔteːr,epitran
dochter,StandardOrth,daughter,Dutch,noun,Person/Thing,Kinship,Indo-European,NA,NA,dɔxtɛr,epitran
Tochter,StandardOrth,daughter,German,noun,Person/Thing,Kinship,Indo-European,Original (M. R. Key),NA,toxtər,epitran
córka,StandardOrth,daughter,Polish,noun,Person/Thing,Kinship,Indo-European,NA,NA,t͡surka,epitran
фырт,CyrillTrans,son,Ossetic,noun,Person/Thing,Kinship,Indo-European,NA,NA,fɨrt,manual(w)
лæппу,CyrillTrans,son,Ossetic,noun,Person/Thing,Kinship,Indo-European,NA,NA,ləppu,manual(w)
figlio,StandardOrth,son,Italian,noun,Person/Thing,Kinship,Indo-European,NA,NA,fiʎo,epitran
fils,StandardOrth,son,French,noun,Person/Thing,Kinship,Indo-European,NA,NA,fil,epitran
fill,StandardOrth,son,Catalan,noun,Person/Thing,Kinship,Indo-European,NA,NA,fiʎ,epitran
filho,StandardOrth,son,Portuguese,noun,Person/Thing,Kinship,Indo-European,NA,NA,filo,epitran
fiu,StandardOrth,son,Romanian,noun,Person/Thing,Kinship,Indo-European,NA,NA,fiu,epitran
son,StandardOrth,son,Swedish,noun,Person/Thing,Kinship,Indo-European,NA,NA,suːn,epitran
zoon,StandardOrth,son,Dutch,noun,Person/Thing,Kinship,Indo-European,NA,NA,zoːn,epitran
Sohn,StandardOrth,son,German,noun,Person/Thing,Kinship,Indo-European,Original (M. R. Key),NA,t͡soːn,epitran
syn,StandardOrth,son,Polish,noun,Person/Thing,Kinship,Indo-European,NA,NA,sɨn,epitran
чындзыцыд,CyrillTrans,married woman,Ossetic,noun,Person/Thing,Kinship,Indo-European,NA,NA,t͡ʃɨnd͡zɨt͡sɨd,manual(w)
мойджын,CyrillTrans,married woman,Ossetic,noun,Person/Thing,Kinship,Indo-European,NA,NA,mojd͡ʒɨn,manual(w)
donna sposata,StandardOrth,married woman,Italian,noun,Person/Thing,Kinship,Indo-European,NA,NA,donːa sposata,epitran
femme mariée,StandardOrth,married woman,French,noun,Person/Thing,Kinship,Indo-European,NA,NA,fɛmə marje,epitran
dona casada,StandardOrth,married woman,Catalan,noun,Person/Thing,Kinship,Indo-European,NA,NA,dɔna kasada,epitran
casada,StandardOrth,married woman,Portuguese,noun,Person/Thing,Kinship,Indo-European,NA,NA,kɐzɐdɐ,epitran
gift kvinna,StandardOrth,married woman,Swedish,noun,Person/Thing,Kinship,Indo-European,NA,NA,jɪft kvɪnɑː,epitran
getrouwde vrouw,StandardOrth,married woman,Dutch,noun,Person/Thing,Kinship,Indo-European,NA,NA,ɣɛtrɑwdɛ vrɑw,epitran
Ehefrau,StandardOrth,married woman,German,noun,Person/Thing,Kinship,Indo-European,Original (M. R. Key),NA,eːhefrawh,epitran
verheiratete Frau,StandardOrth,married woman,German,noun,Person/Thing,Kinship,Indo-European,Original (M. R. Key),NA,fərhajeːraːteːte frawh,epitran
mężatka,StandardOrth,married woman,Polish,noun,Person/Thing,Kinship,Indo-European,NA,NA,mɛ̃ʐatka,epitran
kobieta zamężna,StandardOrth,married woman,Polish,noun,Person/Thing,Kinship,Indo-European,NA,NA,kɔbjɛta zamɛ̃ʐna,epitran
усджын,CyrillTrans,married man,Ossetic,noun,Person/Thing,Kinship,Indo-European,NA,NA,usd͡ʒɨn,manual(w)
uomo sposato,StandardOrth,married man,Italian,noun,Person/Thing,Kinship,Indo-European,NA,NA,uomo sposato,epitran
homme marié,StandardOrth,married man,French,noun,Person/Thing,Kinship,Indo-European,NA,NA,ɔmə marje,epitran
home casat,StandardOrth,married man,Catalan,noun,Person/Thing,Kinship,Indo-European,NA,NA,ɔmɛ kasat,epitran
casado,StandardOrth,married man,Portuguese,noun,Person/Thing,Kinship,Indo-European,NA,NA,kɐzɐdo,epitran
gift man,StandardOrth,married man,Swedish,noun,Person/Thing,Kinship,Indo-European,NA,NA,jɪft mɑːn,epitran
getrouwde man,StandardOrth,married man,Dutch,noun,Person/Thing,Kinship,Indo-European,NA,NA,ɣɛtrɑwdɛ mɑn,epitran
Ehemann,StandardOrth,married man,German,noun,Person/Thing,Kinship,Indo-European,Original (M. R. Key),NA,eːheman,epitran
verheirateter Mann,StandardOrth,married man,German,noun,Person/Thing,Kinship,Indo-European,Original (M. R. Key),NA,fərhajeːraːteːtər man,epitran
żonaty mężczyzna,StandardOrth,married man,Polish,noun,Person/Thing,Kinship,Indo-European,NA,NA,ʐɔnatɨ mɛ̃ʐt͡ʂɨzna,epitran
żonkoś,StandardOrth,married man,Polish,noun,Person/Thing,Kinship,Indo-European,NA,NA,ʐɔnkɔɕ,epitran
ныййарджытæ,CyrillTrans,parents,Ossetic,noun,Person/Thing,Kinship,Indo-European,NA,NA,nɨjjard͡ʒɨtə,manual(w)
genitori,StandardOrth,parents,Italian,noun,Person/Thing,Kinship,Indo-European,NA,NA,d͡ʒenitori,epitran
parents,StandardOrth,parents,French,noun,Person/Thing,Kinship,Indo-European,NA,NA,parɑ̃t,epitran
pares,StandardOrth,parents,Catalan,noun,Person/Thing,Kinship,Indo-European,NA,NA,paɾɛs,epitran
pais,StandardOrth,parents,Portuguese,noun,Person/Thing,Kinship,Indo-European,NA,NA,pajʃ,epitran
părinţĭ,StandardOrth,parents,Romanian,noun,Person/Thing,Kinship,Indo-European,NA,NA,pərint͡sĭ,epitran
för-äldrar,StandardOrth,parents,Swedish,noun,Person/Thing,Kinship,Indo-European,NA,NA,føːr-ɛldrɑːr,epitran
ouders,StandardOrth,parents,Dutch,noun,Person/Thing,Kinship,Indo-European,NA,NA,ɑwʏdɛrs,epitran
Eltern,StandardOrth,parents,German,noun,Person/Thing,Kinship,Indo-European,Original (M. R. Key),NA,eltərn,epitran
rodzice,StandardOrth,parents,Polish,noun,Person/Thing,Kinship,Indo-European,NA,NA,rɔd͡ʑit͡sɛ,epitran
rodziciele,StandardOrth,parents,Polish,noun,Person/Thing,Kinship,Indo-European,NA,NA,rɔd͡ʑit͡ɕɛlɛ,epitran
мад,CyrillTrans,mother,Ossetic,noun,Person/Thing,Kinship,Indo-European,NA,NA,mad,manual(w)
madre,StandardOrth,mother,Italian,noun,Person/Thing,Kinship,Indo-European,NA,NA,madre,epitran
mère,StandardOrth,mother,French,noun,Person/Thing,Kinship,Indo-European,NA,NA,mɛr,epitran
mare,StandardOrth,mother,Catalan,noun,Person/Thing,Kinship,Indo-European,NA,NA,maɾɛ,epitran
mãe,StandardOrth,mother,Portuguese,noun,Person/Thing,Kinship,Indo-European,NA,NA,mɐ̃j̃,epitran
mamă,StandardOrth,mother,Romanian,noun,Person/Thing,Kinship,Indo-European,NA,NA,mamə,epitran
moder,StandardOrth,mother,Swedish,noun,Person/Thing,Kinship,Indo-European,NA,NA,muːdeːr,epitran
mor,StandardOrth,mother,Swedish,noun,Person/Thing,Kinship,Indo-European,NA,NA,muːr,epitran
moeder,StandardOrth,mother,Dutch,noun,Person/Thing,Kinship,Indo-European,NA,NA,muːɛdɛr,epitran
Mutter,StandardOrth,mother,German,noun,Person/Thing,Kinship,Indo-European,Original (M. R. Key),NA,mutər,epitran
matka (mać),StandardOrth,mother,Polish,noun,Person/Thing,Kinship,Indo-European,NA,NA,matka (mat͡ɕ),epitran
фыд,CyrillTrans,father,Ossetic,noun,Person/Thing,Kinship,Indo-European,NA,NA,fɨd,manual(w)
padre,StandardOrth,father,Italian,noun,Person/Thing,Kinship,Indo-European,NA,NA,padre,epitran
père,StandardOrth,father,French,noun,Person/Thing,Kinship,Indo-European,NA,NA,pɛr,epitran
pare,StandardOrth,father,Catalan,noun,Person/Thing,Kinship,Indo-European,NA,NA,paɾɛ,epitran
pai,StandardOrth,father,Portuguese,noun,Person/Thing,Kinship,Indo-European,NA,NA,paj,epitran
tată,StandardOrth,father,Romanian,noun,Person/Thing,Kinship,Indo-European,NA,NA,tatə,epitran
fader,StandardOrth,father,Swedish,noun,Person/Thing,Kinship,Indo-European,NA,NA,fɑːdeːr,epitran
far,StandardOrth,father,Swedish,noun,Person/Thing,Kinship,Indo-European,NA,NA,fɑːr,epitran
vader,StandardOrth,father,Dutch,noun,Person/Thing,Kinship,Indo-European,NA,NA,vaːdɛr,epitran
Vater,StandardOrth,father,German,noun,Person/Thing,Kinship,Indo-European,Original (M. R. Key),NA,faːtər,epitran
ojciec,StandardOrth,father,Polish,noun,Person/Thing,Kinship,Indo-European,NA,NA,ɔjt͡ɕɛt͡s,epitran
усы ауагъд,CyrillTrans,divorce,Ossetic,noun,Person/Thing,Kinship,Indo-European,NA,NA,usɨ auaʁd,manual(w)
ахицæн,CyrillTrans,divorce,Ossetic,noun,Person/Thing,Kinship,Indo-European,NA,NA,aχit͡sən,manual(w)
толахъ,CyrillTrans,divorce,Ossetic,noun,Person/Thing,Kinship,Indo-European,NA,NA,tolaq,manual(w)
divorzio,StandardOrth,divorce,Italian,noun,Person/Thing,Kinship,Indo-European,NA,NA,divorsio,epitran
divorce,StandardOrth,divorce,French,noun,Person/Thing,Kinship,Indo-European,NA,NA,divɔr,epitran
divorci,StandardOrth,divorce,Catalan,noun,Person/Thing,Kinship,Indo-European,NA,NA,dibɔɾsi,epitran
divórcio,StandardOrth,divorce,Portuguese,noun,Person/Thing,Kinship,Indo-European,NA,NA,divɔɾsio,epitran
skils-mässa,StandardOrth,divorce,Swedish,noun,Person/Thing,Kinship,Indo-European,NA,NA,sɕɪls-mɛsɑː,epitran
echtscheiding,StandardOrth,divorce,Dutch,noun,Person/Thing,Kinship,Indo-European,NA,NA,ɛxtsxɛjɪdɪnx,epitran
Scheidung,StandardOrth,divorce,German,noun,Person/Thing,Kinship,Indo-European,Original (M. R. Key),NA,ʃajeːduŋk,epitran
Ehescheidung,StandardOrth,divorce,German,noun,Person/Thing,Kinship,Indo-European,Original (M. R. Key),NA,eːheʃajeːduŋk,epitran
rozwód,StandardOrth,divorce,Polish,noun,Person/Thing,Kinship,Indo-European,NA,NA,rɔzvud,epitran
чындзæхсæв,CyrillTrans,"marriage, wedding",Ossetic,noun,Person/Thing,Kinship,Indo-European,NA,NA,t͡ʃɨnd͡zəχsəv,manual(w)
къайад,CyrillTrans,"marriage, wedding",Ossetic,noun,Person/Thing,Kinship,Indo-European,NA,NA,kʼajad,manual(w)
æмкъайад,CyrillTrans,"marriage, wedding",Ossetic,noun,Person/Thing,Kinship,Indo-European,NA,NA,əmkʼajad,manual(w)
nozze,StandardOrth,"marriage, wedding",Italian,noun,Person/Thing,Kinship,Indo-European,NA,NA,not͡se,epitran
mariage,StandardOrth,"marriage, wedding",French,noun,Person/Thing,Kinship,Indo-European,NA,NA,marjaʒ,epitran
noces,StandardOrth,"marriage, wedding",French,noun,Person/Thing,Kinship,Indo-European,NA,NA,nɔz,epitran
casament,StandardOrth,"marriage, wedding",Catalan,noun,Person/Thing,Kinship,Indo-European,NA,NA,kasamɛnt,epitran
boda,StandardOrth,"marriage, wedding",Catalan,noun,Person/Thing,Kinship,Indo-European,NA,NA,bɔda,epitran
matrimônio,StandardOrth,"marriage, wedding",Portuguese,noun,Person/Thing,Kinship,Indo-European,NA,NA,mɐtʁimonio,epitran
casamento,StandardOrth,"marriage, wedding",Portuguese,noun,Person/Thing,Kinship,Indo-European,NA,NA,kɐzɐmɛnto,epitran
căsatorie,StandardOrth,"marriage, wedding",Romanian,noun,Person/Thing,Kinship,Indo-European,NA,NA,kəsatorie,epitran
nuntă,StandardOrth,"marriage, wedding",Romanian,noun,Person/Thing,Kinship,Indo-European,NA,NA,nuntə,epitran
gifter-mål,StandardOrth,"marriage, wedding",Swedish,noun,Person/Thing,Kinship,Indo-European,NA,NA,jɪfteːr-moːl,epitran
äkten-skap,StandardOrth,"marriage, wedding",Swedish,noun,Person/Thing,Kinship,Indo-European,NA,NA,ɛkteːn-ɧɑːp,epitran
bröllop,StandardOrth,"marriage, wedding",Swedish,noun,Person/Thing,Kinship,Indo-European,NA,NA,brœluːp,epitran
huwelijk,StandardOrth,"marriage, wedding",Dutch,noun,Person/Thing,Kinship,Indo-European,NA,NA,hyːʋeːlɛjk,epitran
echt,StandardOrth,"marriage, wedding",Dutch,noun,Person/Thing,Kinship,Indo-European,NA,NA,ɛxt,epitran
bruiloft,StandardOrth,"marriage, wedding",Dutch,noun,Person/Thing,Kinship,Indo-European,NA,NA,prœɥɪlɔft,epitran
Heirat,StandardOrth,"marriage, wedding",German,noun,Person/Thing,Kinship,Indo-European,Original (M. R. Key),NA,hajeːrat,epitran
Ehe,StandardOrth,"marriage, wedding",German,noun,Person/Thing,Kinship,Indo-European,Original (M. R. Key),NA,eːə,epitran
Hochzeit,StandardOrth,"marriage, wedding",German,noun,Person/Thing,Kinship,Indo-European,Original (M. R. Key),NA,hoxt͡sajt,epitran
małżeństwo,StandardOrth,"marriage, wedding",Polish,noun,Person/Thing,Kinship,Indo-European,NA,NA,mawʐɛɲstvɔ,epitran
ślub,StandardOrth,"marriage, wedding",Polish,noun,Person/Thing,Kinship,Indo-European,NA,NA,ɕlub,epitran
wesele,StandardOrth,"marriage, wedding",Polish,noun,Person/Thing,Kinship,Indo-European,NA,NA,vɛsɛlɛ,epitran
ус æрхæссын,CyrillTrans,marry,Ossetic,verb,Action/Process,Kinship,Indo-European,NA,NA,us ərχəssɨn,manual(w)
ус ракурын,CyrillTrans,marry,Ossetic,verb,Action/Process,Kinship,Indo-European,NA,NA,us rakurɨn,manual(w)
мой скæнын,CyrillTrans,marry,Ossetic,verb,Action/Process,Kinship,Indo-European,NA,NA,moj skənɨn,manual(w)
чындзы фæцæуын,CyrillTrans,marry,Ossetic,verb,Action/Process,Kinship,Indo-European,NA,NA,t͡ʃɨnd͡zɨ fət͡səuɨn,manual(w)
моймæ фæцæуын,CyrillTrans,marry,Ossetic,verb,Action/Process,Kinship,Indo-European,NA,NA,mojmə fət͡səuɨn,manual(w)
sposarsi,StandardOrth,marry,Italian,verb,Action/Process,Kinship,Indo-European,NA,NA,sposarsi,epitran
se marier,StandardOrth,marry,French,verb,Action/Process,Kinship,Indo-European,NA,NA,sə marje,epitran
épouser,StandardOrth,marry,French,verb,Action/Process,Kinship,Indo-European,NA,NA,epuze,epitran
casar-se,StandardOrth,marry,Catalan,verb,Action/Process,Kinship,Indo-European,NA,NA,kasaɾ-sɛ,epitran
casar,StandardOrth,marry,Portuguese,verb,Action/Process,Kinship,Indo-European,NA,NA,kɐzɐɾ,epitran
se căsători,StandardOrth,marry,Romanian,verb,Action/Process,Kinship,Indo-European,NA,NA,se kəsətori,epitran
se însura,StandardOrth,marry,Romanian,verb,Action/Process,Kinship,Indo-European,NA,NA,se ɨnsura,epitran
se mărita,StandardOrth,marry,Romanian,verb,Action/Process,Kinship,Indo-European,NA,NA,se mərita,epitran
gifta sig,StandardOrth,marry,Swedish,verb,Action/Process,Kinship,Indo-European,NA,NA,jɪftɑː siːɡ,epitran
äkta,StandardOrth,marry,Swedish,verb,Action/Process,Kinship,Indo-European,NA,NA,ɛktɑː,epitran
trouwen,StandardOrth,marry,Dutch,verb,Action/Process,Kinship,Indo-European,NA,NA,trɑwywɛn,epitran
huwen,StandardOrth,marry,Dutch,verb,Action/Process,Kinship,Indo-European,NA,NA,hyːʋɛn,epitran
heiraten,StandardOrth,marry,German,verb,Action/Process,Kinship,Indo-European,Original (M. R. Key),NA,hajeːraːtən,epitran
(o)żenić się,StandardOrth,marry,Polish,verb,Action/Process,Kinship,Indo-European,NA,NA,(ɔ)ʐɛɲit͡ɕ ɕɛ,epitran
wyjść za mąż,StandardOrth,marry,Polish,verb,Action/Process,Kinship,Indo-European,NA,NA,vɨjɕt͡ɕ za mɔ̃ʐ,epitran
бинойнаг,CyrillTrans,wife,Ossetic,noun,Person/Thing,Kinship,Indo-European,NA,NA,binojnaɡ,manual(w)
ус (супруга),CyrillTrans,wife,Ossetic,noun,Person/Thing,Kinship,Indo-European,NA,NA,us (supruɡa),manual(w)
moglie,StandardOrth,wife,Italian,noun,Person/Thing,Kinship,Indo-European,NA,NA,moʎe,epitran
femme,StandardOrth,wife,French,noun,Person/Thing,Kinship,Indo-European,NA,NA,fɛm,epitran
épouse,StandardOrth,wife,French,noun,Person/Thing,Kinship,Indo-European,NA,NA,epuz,epitran
muller,StandardOrth,wife,Catalan,noun,Person/Thing,Kinship,Indo-European,NA,NA,muʎɛɾ,epitran
esposa,StandardOrth,wife,Catalan,noun,Person/Thing,Kinship,Indo-European,NA,NA,ɛspɔsa,epitran
esposa,StandardOrth,wife,Portuguese,noun,Person/Thing,Kinship,Indo-European,NA,NA,ɛʃpozɐ,epitran
mulher,StandardOrth,wife,Portuguese,noun,Person/Thing,Kinship,Indo-European,NA,NA,mulɛɾ,epitran
soţie,StandardOrth,wife,Romanian,noun,Person/Thing,Kinship,Indo-European,NA,NA,sot͡sie,epitran
nevastă,StandardOrth,wife,Romanian,noun,Person/Thing,Kinship,Indo-European,NA,NA,nevastə,epitran
hustru,StandardOrth,wife,Swedish,noun,Person/Thing,Kinship,Indo-European,NA,NA,hɵstrʉː,epitran
maka,StandardOrth,wife,Swedish,noun,Person/Thing,Kinship,Indo-European,NA,NA,mɑːkɑː,epitran
fru,StandardOrth,wife,Swedish,noun,Person/Thing,Kinship,Indo-European,NA,NA,frʉː,epitran
vrouw,StandardOrth,wife,Dutch,noun,Person/Thing,Kinship,Indo-European,NA,NA,vrɑw,epitran
echtgenote,StandardOrth,wife,Dutch,noun,Person/Thing,Kinship,Indo-European,NA,NA,ɛxtɣeːnoːteː,epitran
gade,StandardOrth,wife,Dutch,noun,Person/Thing,Kinship,Indo-European,NA,NA,ɣaːdeː,epitran
Frau,StandardOrth,wife,German,noun,Person/Thing,Kinship,Indo-European,Original (M. R. Key),NA,frawh,epitran
Ehefrau,StandardOrth,wife,German,noun,Person/Thing,Kinship,Indo-European,Original (M. R. Key),NA,eːhefrawh,epitran
Gattin,StandardOrth,wife,German,noun,Person/Thing,Kinship,Indo-European,Original (M. R. Key),NA,ɡatin,epitran
Gemahlin,StandardOrth,wife,German,noun,Person/Thing,Kinship,Indo-European,Original (M. R. Key),NA,ɡeːmaːlin,epitran
żona,StandardOrth,wife,Polish,noun,Person/Thing,Kinship,Indo-European,NA,NA,ʐɔna,epitran
małżonka,StandardOrth,wife,Polish,noun,Person/Thing,Kinship,Indo-European,NA,NA,mawʐɔnka,epitran
мой,CyrillTrans,husband,Ossetic,noun,Person/Thing,Kinship,Indo-European,NA,NA,moj,manual(w)
лæг (супруг),CyrillTrans,husband,Ossetic,noun,Person/Thing,Kinship,Indo-European,NA,NA,ləɡ (supruɡ),manual(w)
marito,StandardOrth,husband,Italian,noun,Person/Thing,Kinship,Indo-European,NA,NA,marito,epitran
mari,StandardOrth,husband,French,noun,Person/Thing,Kinship,Indo-European,NA,NA,mari,epitran
époux,StandardOrth,husband,French,noun,Person/Thing,Kinship,Indo-European,NA,NA,epu,epitran
marit,StandardOrth,husband,Catalan,noun,Person/Thing,Kinship,Indo-European,NA,NA,maɾit,epitran
espòs,StandardOrth,husband,Catalan,noun,Person/Thing,Kinship,Indo-European,NA,NA,ɛspɔs,epitran
marido,StandardOrth,husband,Portuguese,noun,Person/Thing,Kinship,Indo-European,NA,NA,mɐɾido,epitran
soţ,StandardOrth,husband,Romanian,noun,Person/Thing,Kinship,Indo-European,NA,NA,sot͡s,epitran
man,StandardOrth,husband,Swedish,noun,Person/Thing,Kinship,Indo-European,NA,NA,mɑːn,epitran
äkta man,StandardOrth,husband,Swedish,noun,Person/Thing,Kinship,Indo-European,NA,NA,ɛktɑː mɑːn,epitran
make,StandardOrth,husband,Swedish,noun,Person/Thing,Kinship,Indo-European,NA,NA,mɑːɕeː,epitran
man,StandardOrth,husband,Dutch,noun,Person/Thing,Kinship,Indo-European,NA,NA,mɑn,epitran
echtgenoot,StandardOrth,husband,Dutch,noun,Person/Thing,Kinship,Indo-European,NA,NA,ɛxtɣeːnoːt,epitran
gade,StandardOrth,husband,Dutch,noun,Person/Thing,Kinship,Indo-European,NA,NA,ɣaːdeː,epitran
Mann,StandardOrth,husband,German,noun,Person/Thing,Kinship,Indo-European,Original (M. R. Key),NA,man,epitran
Ehemann,StandardOrth,husband,German,noun,Person/Thing,Kinship,Indo-European,Original (M. R. Key),NA,eːheman,epitran
Gatte,StandardOrth,husband,German,noun,Person/Thing,Kinship,Indo-European,Original (M. R. Key),NA,ɡatə,epitran
Gemahl,StandardOrth,husband,German,noun,Person/Thing,Kinship,Indo-European,Original (M. R. Key),NA,ɡeːmaːl,epitran
mąż,StandardOrth,husband,Polish,noun,Person/Thing,Kinship,Indo-European,NA,NA,mɔ̃ʐ,epitran
małżonek,StandardOrth,husband,Polish,noun,Person/Thing,Kinship,Indo-European,NA,NA,mawʐɔnɛk,epitran
дзидзидай (грудной),CyrillTrans,"infant, baby",Ossetic,noun,Person/Thing,Kinship,Indo-European,NA,NA,d͡zid͡zidaj (ɡrudnoj),manual(w)
саби,CyrillTrans,"infant, baby",Ossetic,noun,Person/Thing,Kinship,Indo-European,NA,NA,sabi,manual(w)
сывæллон,CyrillTrans,"infant, baby",Ossetic,noun,Person/Thing,Kinship,Indo-European,NA,NA,sɨvəllon,manual(w)
bimbo,StandardOrth,"infant, baby",Italian,noun,Person/Thing,Kinship,Indo-European,NA,NA,bimbo,epitran
enfant,StandardOrth,"infant, baby",French,noun,Person/Thing,Kinship,Indo-European,NA,NA,ɛnfan,epitran
bébé,StandardOrth,"infant, baby",French,noun,Person/Thing,Kinship,Indo-European,NA,NA,bebe,epitran
nen,StandardOrth,"infant, baby",Catalan,noun,Person/Thing,Kinship,Indo-European,NA,NA,nɛn,epitran
bebè,StandardOrth,"infant, baby",Catalan,noun,Person/Thing,Kinship,Indo-European,NA,NA,bɛbɛ,epitran
