Form,transcription,alt_form,alt_transcription,language,english.name,ontological.category,has.phon
okres,StandardOrth,NA,NA,Polish,"span, fathom",Person/Thing,NA
objętość,StandardOrth,NA,NA,Polish,"span, fathom",Person/Thing,NA
барын,CyrillTrans,NA,NA,Ossetic,measure,Action/Process,NA
misurare,StandardOrth,NA,NA,Italian,measure,Action/Process,NA
mesurer,StandardOrth,NA,NA,French,measure,Action/Process,NA
mesurar,StandardOrth,NA,NA,Catalan,measure,Action/Process,NA
medir,StandardOrth,NA,NA,Portuguese,measure,Action/Process,NA
măsura,StandardOrth,NA,NA,Romanian,measure,Action/Process,NA
måle,StandardOrth,NA,NA,Danish,measure,Action/Process,NA
mäta,StandardOrth,NA,NA,Swedish,measure,Action/Process,NA
measure,StandardOrth,NA,NA,English,measure,Action/Process,NA
meten,StandardOrth,NA,NA,Dutch,measure,Action/Process,NA
messen,StandardOrth,NA,Original (M. R. Key),German,measure,Action/Process,FALSE
mierzyć,StandardOrth,NA,NA,Polish,measure,Action/Process,NA
miara,StandardOrth,NA,NA,Polish,measure,Action/Process,NA
рæзын,CyrillTrans,NA,NA,Ossetic,grow,Action/Process,NA
зайын – произрастать,CyrillTrans,NA,NA,Ossetic,grow,Action/Process,NA
crescere,StandardOrth,NA,NA,Italian,grow,Action/Process,NA
grandir,StandardOrth,NA,NA,French,grow,Action/Process,NA
croître,StandardOrth,NA,NA,French,grow,Action/Process,NA
pousser,StandardOrth,NA,NA,French,grow,Action/Process,NA
créixer,StandardOrth,NA,NA,Catalan,grow,Action/Process,NA
crescer,StandardOrth,NA,NA,Portuguese,grow,Action/Process,NA
creşte,StandardOrth,NA,NA,Romanian,grow,Action/Process,NA
vokse,StandardOrth,NA,NA,Danish,grow,Action/Process,NA
växa,StandardOrth,NA,NA,Swedish,grow,Action/Process,NA
grow,StandardOrth,NA,NA,English,grow,Action/Process,NA
groeien,StandardOrth,NA,NA,Dutch,grow,Action/Process,NA
wassen,StandardOrth,NA,NA,Dutch,grow,Action/Process,NA
wachsen,StandardOrth,NA,Original (M. R. Key),German,grow,Action/Process,FALSE
rosnąć,StandardOrth,NA,NA,Polish,grow,Action/Process,NA
хуссар,CyrillTrans,NA,NA,Ossetic,south,Person/Thing,NA
sud,StandardOrth,NA,NA,Italian,south,Person/Thing,NA
sud,StandardOrth,NA,NA,French,south,Person/Thing,NA
sud,StandardOrth,NA,NA,Catalan,south,Person/Thing,NA
sul,StandardOrth,NA,NA,Portuguese,south,Person/Thing,NA
sud,StandardOrth,NA,NA,Romanian,south,Person/Thing,NA
syd,StandardOrth,NA,NA,Danish,south,Person/Thing,NA
söder,StandardOrth,NA,NA,Swedish,south,Person/Thing,NA
south,StandardOrth,NA,NA,English,south,Person/Thing,NA
zuiden,StandardOrth,NA,NA,Dutch,south,Person/Thing,NA
Süden,StandardOrth,NA,Original (M. R. Key),German,south,Person/Thing,FALSE
południe,StandardOrth,NA,NA,Polish,south,Person/Thing,NA
цæгат,CyrillTrans,NA,NA,Ossetic,north,Person/Thing,NA
nord,StandardOrth,NA,NA,Italian,north,Person/Thing,NA
nord,StandardOrth,NA,NA,French,north,Person/Thing,NA
nord,StandardOrth,NA,NA,Catalan,north,Person/Thing,NA
norte,StandardOrth,NA,NA,Portuguese,north,Person/Thing,NA
nord,StandardOrth,NA,NA,Romanian,north,Person/Thing,NA
nord,StandardOrth,NA,NA,Danish,north,Person/Thing,NA
nord,StandardOrth,NA,NA,Swedish,north,Person/Thing,NA
norr,StandardOrth,NA,NA,Swedish,north,Person/Thing,NA
north,StandardOrth,NA,NA,English,north,Person/Thing,NA
noorden,StandardOrth,NA,NA,Dutch,north,Person/Thing,NA
Norden,StandardOrth,NA,Original (M. R. Key),German,north,Person/Thing,FALSE
północ,StandardOrth,NA,NA,Polish,north,Person/Thing,NA
ныгуылæн,CyrillTrans,NA,NA,Ossetic,west,Person/Thing,NA
ovest,StandardOrth,NA,NA,Italian,west,Person/Thing,NA
ouest,StandardOrth,NA,NA,French,west,Person/Thing,NA
occident,StandardOrth,NA,NA,French,west,Person/Thing,NA
oest,StandardOrth,NA,NA,Catalan,west,Person/Thing,NA
oeste,StandardOrth,NA,NA,Portuguese,west,Person/Thing,NA
vest,StandardOrth,NA,NA,Romanian,west,Person/Thing,NA
apus,StandardOrth,NA,NA,Romanian,west,Person/Thing,NA
vest,StandardOrth,NA,NA,Danish,west,Person/Thing,NA
väster,StandardOrth,NA,NA,Swedish,west,Person/Thing,NA
väst,StandardOrth,NA,NA,Swedish,west,Person/Thing,NA
west,StandardOrth,NA,NA,English,west,Person/Thing,NA
westen,StandardOrth,NA,NA,Dutch,west,Person/Thing,NA
Westen,StandardOrth,NA,Original (M. R. Key),German,west,Person/Thing,FALSE
zachȯd,StandardOrth,NA,NA,Polish,west,Person/Thing,NA
скæсæн,CyrillTrans,NA,NA,Ossetic,east,Person/Thing,NA
est,StandardOrth,NA,NA,Italian,east,Person/Thing,NA
est,StandardOrth,NA,NA,French,east,Person/Thing,NA
orient,StandardOrth,NA,NA,French,east,Person/Thing,NA
est,StandardOrth,NA,NA,Catalan,east,Person/Thing,NA
leste,StandardOrth,NA,NA,Portuguese,east,Person/Thing,NA
este,StandardOrth,NA,NA,Portuguese,east,Person/Thing,NA
est,StandardOrth,NA,NA,Romanian,east,Person/Thing,NA
răsărit,StandardOrth,NA,NA,Romanian,east,Person/Thing,NA
øst,StandardOrth,NA,NA,Danish,east,Person/Thing,NA
öster,StandardOrth,NA,NA,Swedish,east,Person/Thing,NA
öst,StandardOrth,NA,NA,Swedish,east,Person/Thing,NA
east,StandardOrth,NA,NA,English,east,Person/Thing,NA
oosten,StandardOrth,NA,NA,Dutch,east,Person/Thing,NA
Osten,StandardOrth,NA,Original (M. R. Key),German,east,Person/Thing,FALSE
wschód,StandardOrth,NA,NA,Polish,east,Person/Thing,NA
фарсмæ,CyrillTrans,NA,NA,Ossetic,near (adv),Property,NA
фæрсæй-фæрстæм,CyrillTrans,NA,NA,Ossetic,near (adv),Property,NA
уæлхъус,CyrillTrans,NA,NA,Ossetic,near (adv),Property,NA
vicino,StandardOrth,NA,NA,Italian,near (adv),Property,NA
près,StandardOrth,NA,NA,French,near (adv),Property,NA
a prop,StandardOrth,NA,NA,Catalan,near (adv),Property,NA
perto,StandardOrth,NA,NA,Portuguese,near (adv),Property,NA
próximo,StandardOrth,NA,NA,Portuguese,near (adv),Property,NA
aproape,StandardOrth,NA,NA,Romanian,near (adv),Property,NA
nær,StandardOrth,NA,NA,Danish,near (adv),Property,NA
nära,StandardOrth,NA,NA,Swedish,near (adv),Property,NA
near,StandardOrth,NA,NA,English,near (adv),Property,NA
nabij,StandardOrth,NA,NA,Dutch,near (adv),Property,NA
dichtbij,StandardOrth,NA,NA,Dutch,near (adv),Property,NA
nah,StandardOrth,NA,Original (M. R. Key),German,near (adv),Property,FALSE
nahe,StandardOrth,NA,Original (M. R. Key),German,near (adv),Property,FALSE
blisko,StandardOrth,NA,NA,Polish,near (adv),Property,NA
дард,CyrillTrans,NA,NA,Ossetic,far (adv),Property,NA
lontano,StandardOrth,NA,NA,Italian,far (adv),Property,NA
loin,StandardOrth,NA,NA,French,far (adv),Property,NA
lluny,StandardOrth,NA,NA,Catalan,far (adv),Property,NA
longe,StandardOrth,NA,NA,Portuguese,far (adv),Property,NA
departe,StandardOrth,NA,NA,Romanian,far (adv),Property,NA
langt,StandardOrth,NA,NA,Danish,far (adv),Property,NA
fjernt,StandardOrth,NA,NA,Danish,far (adv),Property,NA
långt borta,StandardOrth,NA,NA,Swedish,far (adv),Property,NA
fjärran,StandardOrth,NA,NA,Swedish,far (adv),Property,NA
far,StandardOrth,NA,NA,English,far (adv),Property,NA
ver,StandardOrth,NA,NA,Dutch,far (adv),Property,NA
fern,StandardOrth,NA,Original (M. R. Key),German,far (adv),Property,FALSE
weit,StandardOrth,NA,Original (M. R. Key),German,far (adv),Property,FALSE
daleko,StandardOrth,NA,NA,Polish,far (adv),Property,NA
галиу (фарс),CyrillTrans,NA,NA,Ossetic,left (side),Property,NA
sinistra,StandardOrth,NA,NA,Italian,left (side),Property,NA
gauche,StandardOrth,NA,NA,French,left (side),Property,NA
esquerre,StandardOrth,NA,NA,Catalan,left (side),Property,NA
esquerra,StandardOrth,NA,NA,Catalan,left (side),Property,NA
esquerda,StandardOrth,NA,NA,Portuguese,left (side),Property,NA
stîng,StandardOrth,NA,NA,Romanian,left (side),Property,NA
venstre,StandardOrth,NA,NA,Danish,left (side),Property,NA
vänster,StandardOrth,NA,NA,Swedish,left (side),Property,NA
left,StandardOrth,NA,NA,English,left (side),Property,NA
linker,StandardOrth,NA,NA,Dutch,left (side),Property,NA
link,StandardOrth,NA,Original (M. R. Key),German,left (side),Property,FALSE
lewy,StandardOrth,NA,NA,Polish,left (side),Property,NA
рахиз (фарс),CyrillTrans,NA,NA,Ossetic,right (side),Property,NA
destra,StandardOrth,NA,NA,Italian,right (side),Property,NA
droite,StandardOrth,NA,NA,French,right (side),Property,NA
dreta,StandardOrth,NA,NA,Catalan,right (side),Property,NA
direita,StandardOrth,NA,NA,Portuguese,right (side),Property,NA
drept,StandardOrth,NA,NA,Romanian,right (side),Property,NA
højre,StandardOrth,NA,NA,Danish,right (side),Property,NA
höger,StandardOrth,NA,NA,Swedish,right (side),Property,NA
right,StandardOrth,NA,NA,English,right (side),Property,NA
rechter,StandardOrth,NA,NA,Dutch,right (side),Property,NA
recht,StandardOrth,NA,Original (M. R. Key),German,right (side),Property,FALSE
prawy,StandardOrth,NA,NA,Polish,right (side),Property,NA
астæу,CyrillTrans,NA,NA,Ossetic,"middle, center",Person/Thing,NA
æмбис,CyrillTrans,NA,NA,Ossetic,"middle, center",Person/Thing,NA
центр,CyrillTrans,NA,NA,Ossetic,"middle, center",Person/Thing,NA
mezzo,StandardOrth,NA,NA,Italian,"middle, center",Person/Thing,NA
centro,StandardOrth,NA,NA,Italian,"middle, center",Person/Thing,NA
milieu,StandardOrth,NA,NA,French,"middle, center",Person/Thing,NA
centre,StandardOrth,NA,NA,French,"middle, center",Person/Thing,NA
mig,StandardOrth,NA,NA,Catalan,"middle, center",Person/Thing,NA
centre,StandardOrth,NA,NA,Catalan,"middle, center",Person/Thing,NA
meio,StandardOrth,NA,NA,Portuguese,"middle, center",Person/Thing,NA
centro,StandardOrth,NA,NA,Portuguese,"middle, center",Person/Thing,NA
mijlociu,StandardOrth,NA,NA,Romanian,"middle, center",Person/Thing,NA
midterst,StandardOrth,NA,NA,Danish,"middle, center",Person/Thing,NA
mellemst,StandardOrth,NA,NA,Danish,"middle, center",Person/Thing,NA
midte,StandardOrth,NA,NA,Danish,"middle, center",Person/Thing,NA
mellerst,StandardOrth,NA,NA,Swedish,"middle, center",Person/Thing,NA
medel-,StandardOrth,NA,NA,Swedish,"middle, center",Person/Thing,NA
mellan-,StandardOrth,NA,NA,Swedish,"middle, center",Person/Thing,NA
middle,StandardOrth,NA,NA,English,"middle, center",Person/Thing,NA
center,StandardOrth,NA,NA,English,"middle, center",Person/Thing,NA
middelste,StandardOrth,NA,NA,Dutch,"middle, center",Person/Thing,NA
midden-,StandardOrth,NA,NA,Dutch,"middle, center",Person/Thing,NA
mittler,StandardOrth,NA,Original (M. R. Key),German,"middle, center",Person/Thing,FALSE
Mitte,StandardOrth,NA,Original (M. R. Key),German,"middle, center",Person/Thing,FALSE
Zentrum,StandardOrth,NA,Original (M. R. Key),German,"middle, center",Person/Thing,FALSE
średni,StandardOrth,NA,NA,Polish,"middle, center",Person/Thing,NA
środek,StandardOrth,NA,NA,Polish,"middle, center",Person/Thing,NA
фарс,CyrillTrans,NA,NA,Ossetic,side,Person/Thing,NA
æрдæг,CyrillTrans,NA,NA,Ossetic,side,Person/Thing,NA
lato,StandardOrth,NA,NA,Italian,side,Person/Thing,NA
côté,StandardOrth,NA,NA,French,side,Person/Thing,NA
costat,StandardOrth,NA,NA,Catalan,side,Person/Thing,NA
lado,StandardOrth,NA,NA,Portuguese,side,Person/Thing,NA
parte,StandardOrth,NA,NA,Romanian,side,Person/Thing,NA
side,StandardOrth,NA,NA,Danish,side,Person/Thing,NA
sida,StandardOrth,NA,NA,Swedish,side,Person/Thing,NA
side,StandardOrth,NA,NA,English,side,Person/Thing,NA
zijde,StandardOrth,NA,NA,Dutch,side,Person/Thing,NA
kant,StandardOrth,NA,NA,Dutch,side,Person/Thing,NA
Seite,StandardOrth,NA,Original (M. R. Key),German,side,Person/Thing,FALSE
strona,StandardOrth,NA,NA,Polish,side,Person/Thing,NA
bok,StandardOrth,NA,NA,Polish,side,Person/Thing,NA
кæрон – конец,CyrillTrans,NA,NA,Ossetic,edge,Person/Thing,NA
был,CyrillTrans,NA,NA,Ossetic,edge,Person/Thing,NA
тигъ,CyrillTrans,NA,NA,Ossetic,edge,Person/Thing,NA
бæстæ (страна),CyrillTrans,NA,NA,Ossetic,edge,Person/Thing,NA
margine,StandardOrth,NA,NA,Italian,edge,Person/Thing,NA
bord,StandardOrth,NA,NA,French,edge,Person/Thing,NA
orée,StandardOrth,NA,NA,French,edge,Person/Thing,NA
marge,StandardOrth,NA,NA,Catalan,edge,Person/Thing,NA
vora,StandardOrth,NA,NA,Catalan,edge,Person/Thing,NA
beira,StandardOrth,NA,NA,Portuguese,edge,Person/Thing,NA
borda,StandardOrth,NA,NA,Portuguese,edge,Person/Thing,NA
tais,StandardOrth,NA,NA,Romanian,edge,Person/Thing,NA
margine,StandardOrth,NA,NA,Romanian,edge,Person/Thing,NA
kant,StandardOrth,NA,NA,Danish,edge,Person/Thing,NA
rand,StandardOrth,NA,NA,Danish,edge,Person/Thing,NA
egg,StandardOrth,NA,NA,Swedish,edge,Person/Thing,NA
kant,StandardOrth,NA,NA,Swedish,edge,Person/Thing,NA
rand,StandardOrth,NA,NA,Swedish,edge,Person/Thing,NA
edge,StandardOrth,NA,NA,English,edge,Person/Thing,NA
scherpte,StandardOrth,NA,NA,Dutch,edge,Person/Thing,NA
kant,StandardOrth,NA,NA,Dutch,edge,Person/Thing,NA
rand,StandardOrth,NA,NA,Dutch,edge,Person/Thing,NA
Kante,StandardOrth,NA,Original (M. R. Key),German,edge,Person/Thing,FALSE
Rand,StandardOrth,NA,Original (M. R. Key),German,edge,Person/Thing,FALSE
ostrze,StandardOrth,NA,NA,Polish,edge,Person/Thing,NA
brzeg,StandardOrth,NA,NA,Polish,edge,Person/Thing,NA
krawędź,StandardOrth,NA,NA,Polish,edge,Person/Thing,NA
цыргъбырынкъ,CyrillTrans,NA,NA,Ossetic,pointed,Property,NA
цыргъфындз,CyrillTrans,NA,NA,Ossetic,pointed,Property,NA
appuntito,StandardOrth,NA,NA,Italian,pointed,Property,NA
pointu,StandardOrth,NA,NA,French,pointed,Property,NA
punxagut,StandardOrth,NA,NA,Catalan,pointed,Property,NA
afiado,StandardOrth,NA,NA,Portuguese,pointed,Property,NA
agudo,StandardOrth,NA,NA,Portuguese,pointed,Property,NA
vîrf,StandardOrth,NA,NA,Romanian,pointed,Property,NA
spids,StandardOrth,NA,NA,Danish,pointed,Property,NA
spetsig,StandardOrth,NA,NA,Swedish,pointed,Property,NA
pointed,StandardOrth,NA,NA,English,pointed,Property,NA
spits,StandardOrth,NA,NA,Dutch,pointed,Property,NA
puntig,StandardOrth,NA,NA,Dutch,pointed,Property,NA
Spitze,StandardOrth,NA,Original (M. R. Key),German,pointed,Property,FALSE
spiczasty,StandardOrth,NA,NA,Polish,pointed,Property,NA
zaostrzony,StandardOrth,NA,NA,Polish,pointed,Property,NA
кæрон,CyrillTrans,NA,NA,Ossetic,end,Person/Thing,NA
фæуд,CyrillTrans,NA,NA,Ossetic,end,Person/Thing,NA
fine,StandardOrth,NA,NA,Italian,end,Person/Thing,NA
fondo,StandardOrth,NA,NA,Italian,end,Person/Thing,NA
bout,StandardOrth,NA,NA,French,end,Person/Thing,NA
extrémité,StandardOrth,NA,NA,French,end,Person/Thing,NA
final,StandardOrth,NA,NA,Catalan,end,Person/Thing,NA
extremidade,StandardOrth,NA,NA,Portuguese,end,Person/Thing,NA
fim,StandardOrth,NA,NA,Portuguese,end,Person/Thing,NA
ponta,StandardOrth,NA,NA,Portuguese,end,Person/Thing,NA
capăt,StandardOrth,NA,NA,Romanian,end,Person/Thing,NA
ende,StandardOrth,NA,NA,Danish,end,Person/Thing,NA
ända,StandardOrth,NA,NA,Swedish,end,Person/Thing,NA
ände,StandardOrth,NA,NA,Swedish,end,Person/Thing,NA
end,StandardOrth,NA,NA,English,end,Person/Thing,NA
einde,StandardOrth,NA,NA,Dutch,end,Person/Thing,NA
Ende,StandardOrth,NA,Original (M. R. Key),German,end,Person/Thing,FALSE
koniec,StandardOrth,NA,NA,Polish,end,Person/Thing,NA
бын,CyrillTrans,NA,NA,Ossetic,bottom,Person/Thing,NA
fondo,StandardOrth,NA,NA,Italian,bottom,Person/Thing,NA
fond,StandardOrth,NA,NA,French,bottom,Person/Thing,NA
fons,StandardOrth,NA,NA,Catalan,bottom,Person/Thing,NA
fundo,StandardOrth,NA,NA,Portuguese,bottom,Person/Thing,NA
fund,StandardOrth,NA,NA,Romanian,bottom,Person/Thing,NA
bund,StandardOrth,NA,NA,Danish,bottom,Person/Thing,NA
botten,StandardOrth,NA,NA,Swedish,bottom,Person/Thing,NA
bottom,StandardOrth,NA,NA,English,bottom,Person/Thing,NA
bodem,StandardOrth,NA,NA,Dutch,bottom,Person/Thing,NA
Boden,StandardOrth,NA,Original (M. R. Key),German,bottom,Person/Thing,FALSE
dno,StandardOrth,NA,NA,Polish,bottom,Person/Thing,NA
ныллæг,CyrillTrans,NA,NA,Ossetic,low,Property,NA
дæлиау,CyrillTrans,NA,NA,Ossetic,low,Property,NA
basso,StandardOrth,NA,NA,Italian,low,Property,NA
bas,StandardOrth,NA,NA,French,low,Property,NA
baix,StandardOrth,NA,NA,Catalan,low,Property,NA
baixo,StandardOrth,NA,NA,Portuguese,low,Property,NA
jos,StandardOrth,NA,NA,Romanian,low,Property,NA
lav,StandardOrth,NA,NA,Danish,low,Property,NA
låg,StandardOrth,NA,NA,Swedish,low,Property,NA
low,StandardOrth,NA,NA,English,low,Property,NA
laag,StandardOrth,NA,NA,Dutch,low,Property,NA
niedrig,StandardOrth,NA,Original (M. R. Key),German,low,Property,FALSE
niski,StandardOrth,NA,NA,Polish,low,Property,NA
цъупп,CyrillTrans,NA,NA,Ossetic,top,Person/Thing,NA
сæр,CyrillTrans,NA,NA,Ossetic,top,Person/Thing,NA
бæрзонд,CyrillTrans,NA,NA,Ossetic,top,Person/Thing,NA
cima,StandardOrth,NA,NA,Italian,top,Person/Thing,NA
haut,StandardOrth,NA,NA,French,top,Person/Thing,NA
sommet,StandardOrth,NA,NA,French,top,Person/Thing,NA
munt,StandardOrth,NA,NA,Catalan,top,Person/Thing,NA
dalt,StandardOrth,NA,NA,Catalan,top,Person/Thing,NA
cume,StandardOrth,NA,NA,Portuguese,top,Person/Thing,NA
topo,StandardOrth,NA,NA,Portuguese,top,Person/Thing,NA
vîrf,StandardOrth,NA,NA,Romanian,top,Person/Thing,NA
culme,StandardOrth,NA,NA,Romanian,top,Person/Thing,NA
top,StandardOrth,NA,NA,Danish,top,Person/Thing,NA
spids,StandardOrth,NA,NA,Danish,top,Person/Thing,NA
topp,StandardOrth,NA,NA,Swedish,top,Person/Thing,NA
spets,StandardOrth,NA,NA,Swedish,top,Person/Thing,NA
överst,StandardOrth,NA,NA,Swedish,top,Person/Thing,NA
top,StandardOrth,NA,NA,English,top,Person/Thing,NA
spits,StandardOrth,NA,NA,Dutch,top,Person/Thing,NA
top,StandardOrth,NA,NA,Dutch,top,Person/Thing,NA
Spitze,StandardOrth,NA,Original (M. R. Key),German,top,Person/Thing,FALSE
Gipfel,StandardOrth,NA,Original (M. R. Key),German,top,Person/Thing,FALSE
das Obere,StandardOrth,NA,Original (M. R. Key),German,top,Person/Thing,FALSE
wierzch,StandardOrth,NA,NA,Polish,top,Person/Thing,NA
góra,StandardOrth,NA,NA,Polish,top,Person/Thing,NA
бæрзонд,CyrillTrans,NA,NA,Ossetic,high,Property,NA
уæлвонг,CyrillTrans,NA,NA,Ossetic,high,Property,NA
alto,StandardOrth,NA,NA,Italian,high,Property,NA
haut,StandardOrth,NA,NA,French,high,Property,NA
alt,StandardOrth,NA,NA,Catalan,high,Property,NA
alto,StandardOrth,NA,NA,Portuguese,high,Property,NA
elevado,StandardOrth,NA,NA,Portuguese,high,Property,NA
înalt,StandardOrth,NA,NA,Romanian,high,Property,NA
høj,StandardOrth,NA,NA,Danish,high,Property,NA
hög,StandardOrth,NA,NA,Swedish,high,Property,NA
high,StandardOrth,NA,NA,English,high,Property,NA
hoog,StandardOrth,NA,NA,Dutch,high,Property,NA
hoch,StandardOrth,NA,Original (M. R. Key),German,high,Property,FALSE
wysoki,StandardOrth,NA,NA,Polish,high,Property,NA
æмбæхсын,CyrillTrans,NA,NA,Ossetic,"hide, conceal",Action/Process,NA
нымæхсын,CyrillTrans,NA,NA,Ossetic,"hide, conceal",Action/Process,NA
сусæг кæнын,CyrillTrans,NA,NA,Ossetic,"hide, conceal",Action/Process,NA
nascondere,StandardOrth,NA,NA,Italian,"hide, conceal",Action/Process,NA
cacher,StandardOrth,NA,NA,French,"hide, conceal",Action/Process,NA
dissimuler,StandardOrth,NA,NA,French,"hide, conceal",Action/Process,NA
amagar,StandardOrth,NA,NA,Catalan,"hide, conceal",Action/Process,NA
esconder,StandardOrth,NA,NA,Portuguese,"hide, conceal",Action/Process,NA
ascunde,StandardOrth,NA,NA,Romanian,"hide, conceal",Action/Process,NA
skjule,StandardOrth,NA,NA,Danish,"hide, conceal",Action/Process,NA
gemme,StandardOrth,NA,NA,Danish,"hide, conceal",Action/Process,NA
gömma,StandardOrth,NA,NA,Swedish,"hide, conceal",Action/Process,NA
dölja,StandardOrth,NA,NA,Swedish,"hide, conceal",Action/Process,NA
hide,StandardOrth,NA,NA,English,"hide, conceal",Action/Process,NA
conceal,StandardOrth,NA,NA,English,"hide, conceal",Action/Process,NA
verstoppen,StandardOrth,NA,NA,Dutch,"hide, conceal",Action/Process,NA
verbergen,StandardOrth,NA,NA,Dutch,"hide, conceal",Action/Process,NA
versteken,StandardOrth,NA,NA,Dutch,"hide, conceal",Action/Process,NA
verbergen,StandardOrth,NA,Original (M. R. Key),German,"hide, conceal",Action/Process,FALSE
verstecken,StandardOrth,NA,Original (M. R. Key),German,"hide, conceal",Action/Process,FALSE
(s)kryć,StandardOrth,NA,NA,Polish,"hide, conceal",Action/Process,NA
schować,StandardOrth,NA,NA,Polish,"hide, conceal",Action/Process,NA
(u)kryć,StandardOrth,NA,NA,Polish,"hide, conceal",Action/Process,NA
ukrywać,StandardOrth,NA,NA,Polish,"hide, conceal",Action/Process,NA
æхгæнын,CyrillTrans,NA,NA,Ossetic,"shut, close",Action/Process,NA
æмбæрзын,CyrillTrans,NA,NA,Ossetic,"shut, close",Action/Process,NA
chiudere,StandardOrth,NA,NA,Italian,"shut, close",Action/Process,NA
fermer,StandardOrth,NA,NA,French,"shut, close",Action/Process,NA
tancar,StandardOrth,NA,NA,Catalan,"shut, close",Action/Process,NA
fechar,StandardOrth,NA,NA,Portuguese,"shut, close",Action/Process,NA
închide,StandardOrth,NA,NA,Romanian,"shut, close",Action/Process,NA
lukke,StandardOrth,NA,NA,Danish,"shut, close",Action/Process,NA
til-lukke,StandardOrth,NA,NA,Danish,"shut, close",Action/Process,NA
stänga,StandardOrth,NA,NA,Swedish,"shut, close",Action/Process,NA
shut,StandardOrth,NA,NA,English,"shut, close",Action/Process,NA
close,StandardOrth,NA,NA,English,"shut, close",Action/Process,NA
sluiten,StandardOrth,NA,NA,Dutch,"shut, close",Action/Process,NA
dichtmaken,StandardOrth,NA,NA,Dutch,"shut, close",Action/Process,NA
schließen,StandardOrth,NA,Original (M. R. Key),German,"shut, close",Action/Process,FALSE
zumachen,StandardOrth,NA,Original (M. R. Key),German,"shut, close",Action/Process,FALSE
zamknąć,StandardOrth,NA,NA,Polish,"shut, close",Action/Process,NA
zatrzasnąć,StandardOrth,NA,NA,Polish,"shut, close",Action/Process,NA
zawrzeć,StandardOrth,NA,NA,Polish,"shut, close",Action/Process,NA
æмбæрзын,CyrillTrans,NA,NA,Ossetic,cover,Action/Process,NA
coprire,StandardOrth,NA,NA,Italian,cover,Action/Process,NA
couvrir,StandardOrth,NA,NA,French,cover,Action/Process,NA
cobrir,StandardOrth,NA,NA,Catalan,cover,Action/Process,NA
cobrir,StandardOrth,NA,NA,Portuguese,cover,Action/Process,NA
acoperi,StandardOrth,NA,NA,Romanian,cover,Action/Process,NA
dække,StandardOrth,NA,NA,Danish,cover,Action/Process,NA
täcke,StandardOrth,NA,NA,Swedish,cover,Action/Process,NA
täcka,StandardOrth,NA,NA,Swedish,cover,Action/Process,NA
cover,StandardOrth,NA,NA,English,cover,Action/Process,NA
bedekken,StandardOrth,NA,NA,Dutch,cover,Action/Process,NA
bedecken,StandardOrth,NA,Original (M. R. Key),German,cover,Action/Process,FALSE
pokryć,StandardOrth,NA,NA,Polish,cover,Action/Process,NA
pokrywać,StandardOrth,NA,NA,Polish,cover,Action/Process,NA
гом кæнын,CyrillTrans,NA,NA,Ossetic,open,Action/Process,NA
кæнын,CyrillTrans,NA,NA,Ossetic,open,Action/Process,NA
aprire,StandardOrth,NA,NA,Italian,open,Action/Process,NA
ouvrir,StandardOrth,NA,NA,French,open,Action/Process,NA
obrir,StandardOrth,NA,NA,Catalan,open,Action/Process,NA
abrir,StandardOrth,NA,NA,Portuguese,open,Action/Process,NA
aberto,StandardOrth,NA,NA,Portuguese,open,Action/Process,NA
deschide,StandardOrth,NA,NA,Romanian,open,Action/Process,NA
åbne,StandardOrth,NA,NA,Danish,open,Action/Process,NA
lukke op,StandardOrth,NA,NA,Danish,open,Action/Process,NA
öppna,StandardOrth,NA,NA,Swedish,open,Action/Process,NA
open,StandardOrth,NA,NA,English,open,Action/Process,NA
openen,StandardOrth,NA,NA,Dutch,open,Action/Process,NA
öffnen,StandardOrth,NA,Original (M. R. Key),German,open,Action/Process,FALSE
aufmachen,StandardOrth,NA,Original (M. R. Key),German,open,Action/Process,FALSE
otworzyć,StandardOrth,NA,NA,Polish,open,Action/Process,NA
otwierać,StandardOrth,NA,NA,Polish,open,Action/Process,NA
дих кæнын,CyrillTrans,NA,NA,Ossetic,divide,Action/Process,NA
уарын,CyrillTrans,NA,NA,Ossetic,divide,Action/Process,NA
dividere,StandardOrth,NA,NA,Italian,divide,Action/Process,NA
diviser,StandardOrth,NA,NA,French,divide,Action/Process,NA
dividir,StandardOrth,NA,NA,Catalan,divide,Action/Process,NA
dividir,StandardOrth,NA,NA,Portuguese,divide,Action/Process,NA
diviza,StandardOrth,NA,NA,Romanian,divide,Action/Process,NA
dele,StandardOrth,NA,NA,Danish,divide,Action/Process,NA
dela,StandardOrth,NA,NA,Swedish,divide,Action/Process,NA
dela på,StandardOrth,NA,NA,Swedish,divide,Action/Process,NA
divide,StandardOrth,NA,NA,English,divide,Action/Process,NA
verdelen,StandardOrth,NA,NA,Dutch,divide,Action/Process,NA
teilen,StandardOrth,NA,Original (M. R. Key),German,divide,Action/Process,FALSE
trennen,StandardOrth,NA,Original (M. R. Key),German,divide,Action/Process,FALSE
dzielić,StandardOrth,NA,NA,Polish,divide,Action/Process,NA
хицæн кæнын,CyrillTrans,NA,NA,Ossetic,separate,Action/Process,NA
иртасын,CyrillTrans,NA,NA,Ossetic,separate,Action/Process,NA
separare,StandardOrth,NA,NA,Italian,separate,Action/Process,NA
séparer,StandardOrth,NA,NA,French,separate,Action/Process,NA
separar,StandardOrth,NA,NA,Catalan,separate,Action/Process,NA
