Form,transcription,alt_form,alt_transcription,language,english.name,ontological.category,has.phon,phon,method
begyndelse,StandardOrth,NA,NA,Danish,"begin, beginning",Action/Process,NA,,
börja,StandardOrth,NA,NA,Swedish,"begin, beginning",Action/Process,NA,bœrjɑː,epitran
begynna,StandardOrth,NA,NA,Swedish,"begin, beginning",Action/Process,NA,beːjʏnɑː,epitran
början,StandardOrth,NA,NA,Swedish,"begin, beginning",Action/Process,NA,bœrjɑːn,epitran
begynnelse,StandardOrth,NA,NA,Swedish,"begin, beginning",Action/Process,NA,beːjʏnɛlseː,epitran
begin,StandardOrth,NA,NA,English,"begin, beginning",Action/Process,NA,bɪgɪˈn,cmu.in.ipa
beginning,StandardOrth,NA,NA,English,"begin, beginning",Action/Process,NA,bɪgɪˈnɪŋ,cmu.in.ipa
beginnen,StandardOrth,NA,NA,Dutch,"begin, beginning",Action/Process,NA,beːɣɪnnɛn,epitran
aanvangen,StandardOrth,NA,NA,Dutch,"begin, beginning",Action/Process,NA,aːnvɑŋɛn,epitran
aanvang,StandardOrth,NA,NA,Dutch,"begin, beginning",Action/Process,NA,aːnvɑnx,epitran
begin,StandardOrth,NA,NA,Dutch,"begin, beginning",Action/Process,NA,beːɣɪn,epitran
anfangen,StandardOrth,NA,Original (M. R. Key),German,"begin, beginning",Action/Process,FALSE,anfaŋən,epitran
beginnen,StandardOrth,NA,Original (M. R. Key),German,"begin, beginning",Action/Process,FALSE,beːɡinən,epitran
Anfang,StandardOrth,NA,Original (M. R. Key),German,"begin, beginning",Action/Process,FALSE,anfaŋk,epitran
sākt,StandardOrth,NA,NA,Latvian,"begin, beginning",Action/Process,NA,sakt,multilingual-g2p
sākums,StandardOrth,NA,NA,Latvian,"begin, beginning",Action/Process,NA,sakums,multilingual-g2p
začíti,StandardOrth,NA,NA,Czech,"begin, beginning",Action/Process,NA,zatsici,multilingual-g2p
počíti,StandardOrth,NA,NA,Czech,"begin, beginning",Action/Process,NA,potsici,multilingual-g2p
začátek,StandardOrth,NA,NA,Czech,"begin, beginning",Action/Process,NA,zatsatek,multilingual-g2p
počátek,StandardOrth,NA,NA,Czech,"begin, beginning",Action/Process,NA,potsatek,multilingual-g2p
zacząć,StandardOrth,NA,NA,Polish,"begin, beginning",Action/Process,NA,zat͡ʂɔɲt͡ɕ,epitran
wszcząć,StandardOrth,NA,NA,Polish,"begin, beginning",Action/Process,NA,vʂt͡ʂɔɲt͡ɕ,epitran
początek,StandardOrth,NA,NA,Polish,"begin, beginning",Action/Process,NA,pɔt͡ʂɔntɛk,epitran
уромын,CyrillTrans,NA,NA,Ossetic,"retard, delay",Action/Process,NA,uromɨn,
ana'valo,LatinTrans,NA,NA,Modern Greek,"retard, delay",Action/Process,NA,anɐvələʊ,multilingual-g2p
ar'ɣo,LatinTrans,NA,NA,Modern Greek,"retard, delay",Action/Process,NA,eɪɑkwəʊtɡaməəʊ,multilingual-g2p
ritardare,StandardOrth,NA,NA,Italian,"retard, delay",Action/Process,NA,ritardare,epitran
différer,StandardOrth,NA,NA,French,"retard, delay",Action/Process,NA,difere,epitran
retarder,StandardOrth,NA,NA,French,"retard, delay",Action/Process,NA,rətarde,epitran
retard,StandardOrth,NA,NA,Catalan,"retard, delay",Action/Process,NA,ɾɛtaɾd,epitran
demorar,StandardOrth,NA,NA,Portuguese,"retard, delay",Action/Process,NA,dɛmoɾɐɾ,epitran
atrasar,StandardOrth,NA,NA,Portuguese,"retard, delay",Action/Process,NA,ɐtʁɐzɐɾ,epitran
întîrzia,StandardOrth,NA,NA,Romanian,"retard, delay",Action/Process,NA,ɨntɨrzia,epitran
zăbovi,StandardOrth,NA,NA,Romanian,"retard, delay",Action/Process,NA,zəbovi,epitran
forsinke,StandardOrth,NA,NA,Danish,"retard, delay",Action/Process,NA,,
dröja,StandardOrth,NA,NA,Swedish,"retard, delay",Action/Process,NA,drøːjɑː,epitran
retard,StandardOrth,NA,NA,English,"retard, delay",Action/Process,NA,ɹɪtɑˈɹd,cmu.in.ipa
delay,StandardOrth,NA,NA,English,"retard, delay",Action/Process,NA,dɪlejˈ,cmu.in.ipa
dralen,StandardOrth,NA,NA,Dutch,"retard, delay",Action/Process,NA,traːlɛn,epitran
talmen,StandardOrth,NA,NA,Dutch,"retard, delay",Action/Process,NA,tɑlmɛn,epitran
vertragen,StandardOrth,NA,NA,Dutch,"retard, delay",Action/Process,NA,vɛrtraːɣɛn,epitran
uitstellen,StandardOrth,NA,NA,Dutch,"retard, delay",Action/Process,NA,œɥtstɛjɛn,epitran
zögern,StandardOrth,NA,Original (M. R. Key),German,"retard, delay",Action/Process,FALSE,t͡søːɡeən,epitran
säumen,StandardOrth,NA,Original (M. R. Key),German,"retard, delay",Action/Process,FALSE,t͡soyhmən,epitran
kavēties,StandardOrth,NA,NA,Latvian,"retard, delay",Action/Process,NA,kaveties,multilingual-g2p
prodlévati,StandardOrth,NA,NA,Czech,"retard, delay",Action/Process,NA,prodlevaci,multilingual-g2p
meškati,StandardOrth,NA,NA,Czech,"retard, delay",Action/Process,NA,meskaci,multilingual-g2p
odkládati,StandardOrth,NA,NA,Czech,"retard, delay",Action/Process,NA,otkladaci,multilingual-g2p
odkładać,StandardOrth,NA,NA,Polish,"retard, delay",Action/Process,NA,ɔdkwadat͡ɕ,epitran
opóźniać,StandardOrth,NA,NA,Polish,"retard, delay",Action/Process,NA,ɔpuʑɲat͡ɕ,epitran
тындзын,CyrillTrans,NA,NA,Ossetic,"hasten, hurry",Action/Process,NA,tɨnd͡zɨn,
'viazome,LatinTrans,NA,NA,Modern Greek,"hasten, hurry",Action/Process,NA,vaɪəzəʊm,multilingual-g2p
affrettarsi,StandardOrth,NA,NA,Italian,"hasten, hurry",Action/Process,NA,afːretːarsi,epitran
espavilar-se,StandardOrth,NA,NA,Catalan,"hasten, hurry",Action/Process,NA,ɛspabilaɾ-sɛ,epitran
afanyar-se,StandardOrth,NA,NA,Catalan,"hasten, hurry",Action/Process,NA,afaɲaɾ-sɛ,epitran
apressar,StandardOrth,NA,NA,Portuguese,"hasten, hurry",Action/Process,NA,ɐpʁɛʃsɐɾ,epitran
haste,StandardOrth,NA,NA,Danish,"hasten, hurry",Action/Process,NA,,
ile,StandardOrth,NA,NA,Danish,"hasten, hurry",Action/Process,NA,,
hasta,StandardOrth,NA,NA,Swedish,"hasten, hurry",Action/Process,NA,hɐstɑː,epitran
ila,StandardOrth,NA,NA,Swedish,"hasten, hurry",Action/Process,NA,iːlɑː,epitran
brådska,StandardOrth,NA,NA,Swedish,"hasten, hurry",Action/Process,NA,brɔdɧɑː,epitran
hasten,StandardOrth,NA,NA,English,"hasten, hurry",Action/Process,NA,hejˈsʌn,cmu.in.ipa
hurry,StandardOrth,NA,NA,English,"hasten, hurry",Action/Process,NA,hɚˈi,cmu.in.ipa
eilen,StandardOrth,NA,Original (M. R. Key),German,"hasten, hurry",Action/Process,FALSE,aielən,epitran
steidzināt,StandardOrth,NA,NA,Latvian,"hasten, hurry",Action/Process,NA,steidzinɐt,multilingual-g2p
steigties,StandardOrth,NA,NA,Latvian,"hasten, hurry",Action/Process,NA,steiɡties,multilingual-g2p
chvátati,StandardOrth,NA,NA,Czech,"hasten, hurry",Action/Process,NA,xvataci,multilingual-g2p
spěchati,StandardOrth,NA,NA,Czech,"hasten, hurry",Action/Process,NA,spexaci,multilingual-g2p
kvapiti,StandardOrth,NA,NA,Czech,"hasten, hurry",Action/Process,NA,kvapici,multilingual-g2p
spieszyć,StandardOrth,NA,NA,Polish,"hasten, hurry",Action/Process,NA,spjɛʂɨt͡ɕ,epitran
сындæг,CyrillTrans,NA,NA,Ossetic,slow,Property,NA,sɨndəɡ,
цадæг,CyrillTrans,NA,NA,Ossetic,slow,Property,NA,t͡sadəɡ,
сабыр,CyrillTrans,NA,NA,Ossetic,slow,Property,NA,sabɨr,
ar'ɣos,LatinTrans,NA,NA,Modern Greek,slow,Property,NA,eɪɑkwəʊtɡaməəʊɛs,multilingual-g2p
lento,StandardOrth,NA,NA,Italian,slow,Property,NA,lento,epitran
lent,StandardOrth,NA,NA,French,slow,Property,NA,l,epitran
lent,StandardOrth,NA,NA,Catalan,slow,Property,NA,lɛnt,epitran
vagaroso,StandardOrth,NA,NA,Portuguese,slow,Property,NA,vɐɡɐɾozo,epitran
devagar,StandardOrth,NA,NA,Portuguese,slow,Property,NA,dɛvɐɡɐɾ,epitran
încet,StandardOrth,NA,NA,Romanian,slow,Property,NA,ɨnt͡ʃet,epitran
langsom,StandardOrth,NA,NA,Danish,slow,Property,NA,,
sakta,StandardOrth,NA,NA,Swedish,slow,Property,NA,sɐktɑː,epitran
långsam,StandardOrth,NA,NA,Swedish,slow,Property,NA,lɔŋsɑːm,epitran
långsamt,StandardOrth,NA,NA,Swedish,slow,Property,NA,lɔŋsɐmt,epitran
trög,StandardOrth,NA,NA,Swedish,slow,Property,NA,trøːɡ,epitran
