bieži,b ie z i
vēna,v e n ɐ
artērija,a ʀ t e ʀ i j ɐ
asinis,a s i n i s
asins,a s i n s
blaugznas,b l au ɡ z n ɐ s
kaunuma apmatojums,k au n u m ɐ a p m a t uo j u m s
apmatojums,a p m a t uo j u m s
bārda,b a ʀ d ɐ
mati,m a t i
miesa,m ie s ɐ
āda,a d ɐ
k̩ermenis,k e ʀ m e n i s
brun̩urupucis,b ʀ u n u ʀ u p u ts i s
krokodils,k ʀ o k o d i l s
aligators,a l i ɡ a t o ʀ s
k̩irzaka,k i ʀ z a k ɐ
varde,v a ʀ d e
gliemezis,ɡ l ie m e z i s
sienāzis,s ie n a z i s
taurenis,t au ʀ e n i s
taurin̩š,t au ʀ i n s
jān̩tārpin̩š,j a n t a ʀ p i n s
čūska,ts u s k ɐ
tārps,t a ʀ p s
moskīts,m uo s k i t s
knislis,k n i s l i s
ods,uo d s
muša,m u s ɐ
lapsene,l a p s e n e
strops,s t ʀ uo p s
(bišu) vasks,  b i s u   v a s k s
bite,b i t e
zirnekl̩a tīmeklis,z i ʀ n e k l ɐ t i m e k l i s
zirneklis,z i ʀ n e k l i s
skudra,s k u d ʀ ɐ
tarakāns,t a ʀ a k ɐ n s
prusaks,p ʀ u s ɐ k s
skorpions,s k o ʀ p i  o n s
simtkājis,s i m t k a j i s
blusa,b l u s ɐ
gnīda,ɡ n i d ɐ
uts,u t s
kukainis,k u k ai n i s
[insekts],  i n s e k t s
kamielis,k a m ie l i s
zilonis,z i l uo n i s
pērtik̩is,p e ʀ t i k i s
briedis,b ʀ ie d i s
lapsa,l a p s ɐ
lācis,l a ts i s
lauva,l au v ɐ
vilks,v i l k s
saldūdens zutis,s a l d u d e n s z u t i s
raja,ʀ a j ɐ
valis,v a l i s
valzivs,v a l z i v s
jūras cūka,j u ʀ ɐ s ts u k ɐ
delfīns,d e l f i n s
haizivs,h ai z i v s
gliemežnīca,ɡ l ie m e z n i ts ɐ
gliemežvāks,ɡ l ie m e z v ɐ k s
žaunas,z au n ɐ s
zvīn̩as,z v i n ɐ s
spura,s p u ʀ ɐ
zivs,z i v s
pele,p e l e
žurka,z u ʀ k ɐ
oposums,o p o s u m s
kak̩is,k a k i s
trusis,t ʀ u s i s
suns,s u n s
balodis,b a l uo d i s
dūja,d u j ɐ
pūce,p u ts e
vārna,v a ʀ n ɐ
papagailis,p a p a ɡ ai l i s
sikspārnis,s i k s p a ʀ n i s
lija,l i j ɐ
vanags,v a n ɐ ɡ s
ērglis,e ʀ ɡ l i s
kaija,k ai j ɐ
gārnis,ɡ a ʀ n i s
dzēse,d z e s e
putns,p u t n s
ligzda,l i ɡ z d ɐ
perēklis,p e ʀ e k l i s
pīle,p i l e
zoss,z uo s s
cālis,ts a l i s
vista,v i s t ɐ
gailis,ɡ ai l i s
mūlis,m u l i s
mājputni,m a j p u t n i
ēzelis,e z e l i s
kumel̩š,k u m e l s
k̩ēve,k e v e
ērzelis,e ʀ z e l i s
zirgs,z i ʀ ɡ s
kazlēns,k a z l e n s
āzis,a z i s
kaza,k a z ɐ
cūka,ts u k ɐ
sivēnmāte,s i v e n m a t e
cūka,ts u k ɐ
vepris,v e p ʀ i s
jērs,j e ʀ s
avs,a v s
auns,au n s
aita,ai t ɐ
tel̩š,t e l s
govs,ɡ uo v s
vērsis,v e ʀ s i s
bullis,b u l l l i s
liellopi,l ie l l l o p i
stallis,s t a l l l i s
kūts,k u t s
gans,ɡ a n s
ganības,ɡ a n i b ɐ s
mājlopi,m a j l o p i
sievišk̩ais,s ie v i s k ai s
vīrišk̩ais,v i ʀ i s k ai s
dzīvnieks,d z i v n ie k s
vin̩i,v i n i
vin̩as,v i n ɐ s
tie,t ie
tās,t a s
jūs,j u s
mēs,m e s
mēs,m e s
mēs,m e s
vin̩š,v i n s
tā,t a
tu,t u
es,e s
ǧimene,ɡ i m e n e
radinieki,ʀ a d i n ie k i
atraitnis,a t ʀ ai t n i s
atraitne,a t ʀ ai t n e
bārenis,b a ʀ e n i s
bārene,b a ʀ e n e
pameita,p a m ei t ɐ
padēls,p a d e l s
pamāte,p a m a t e
patēvs,p a t e v s
vedekla,v e d e k l ɐ
vedekla,v e d e k l ɐ
znots,z n uo t s
znots,z n uo t s
sievasmāte,s ie v a s m a t e
vīramāte,v i ʀ a m a t e
sievastēvs,s ie v a s t e v s
vīratēvs,v i ʀ a t e v s
pēcnācēji,p e ts n a ts e j i
senči,s e n ts i
priekšteči,p ʀ ie k s t e ts i
brālēns,b ʀ a l e n s
māsīca,m a s i ts ɐ
brāl̩ameita,b ʀ a l a m ei t ɐ
māsasmeita,m a s a s m ei t ɐ
brāl̩adēls,b ʀ a l a d e l s
māsasdēls,m a s a s d e l s
tēvamāsa,t e v a m a s ɐ
tante,t a n t e
krustmāte,k ʀ u s t m a t e
tante,t a n t e
mātesmāsa,m a t e s m a s ɐ
tante,t a n t e
tēvocis,t e v uo ts i s
tēvabrālis,t e v a b ʀ a l i s
tēvocis,t e v uo ts i s
mātesbrālis,m a t e s b ʀ a l i s
tēvocis,t e v uo ts i s
onkulis,uo ŋ k u l i s
mazdēls,m a z d e l s
mazmeita,m a z m ei t ɐ
veca sieviete,v e ts ɐ s ie v ie t e
vecmāmin̩a,v e ts m a m i n ɐ
vecmāmul̩a,v e ts m a m u l ɐ
vecs vīrs,v e ts s v i ʀ s
vectēvs,v e ts t e v s
vectētin̩š,v e ts t e t i n s
dvīn̩i,d v i n i
dvīnīši,d v i n i s i
brālis,b ʀ a l i s
māsa,m a s ɐ
jaunākā māsa,j au n a k ɐ m a s ɐ
vecākā māsa,v e ts a k ɐ m a s ɐ
māsa,m a s ɐ
jaunākais brālis,j au n a k ai s b ʀ a l i s
vecākais brālis,v e ts a k ai s b ʀ a l i s
brālis,b ʀ a l i s
pēcnācējs,p e ts n a ts e j s
meita,m ei t ɐ
dēls,d e l s
precēta sieva,p ʀ e ts e t ɐ s ie v ɐ
precējusies,p ʀ e ts e j u s ie s
precēts vīrs,p ʀ e ts e t s v i ʀ s
precējies,p ʀ e ts e j ie s
vecāki,v e ts a k i
māte,m a t e
tēvs,t e v s
šk̩iršanās,s k i ʀ s a n ɐ s
precības,p ʀ e ts i b ɐ s
laulības,l au l i b ɐ s
kāzas,k a z ɐ s
precēties,p ʀ e ts e t ie s
precēt,p ʀ e ts e t
sieva,s ie v ɐ
vīrs,v i ʀ s
mazulis,m a z u l i s
zīdainis,z i d ai n i s
bērns,b e ʀ n s
bērns,b e ʀ n s
jauniete,j au n ie t e
meitene,m ei t e n e
jaunietis,j au n ie t i s
jauneklis,j au n e k l i s
zēns,z e n s
puisis,p ui s i s
mātīte,m a t i t e
tēvin̩š,t e v i n s
sieviete,s ie v ie t e
vīrietis,v i ʀ ie t i s
cilvēks,ts i l v e k s
ogle,uo ɡ l e
ogles,uo ɡ l e s
[koka],  k uo k ɐ
malka,m a l k ɐ
kurināmais,k u ʀ i n a m ai s
sērkocin̩š,s e ʀ k uo ts i n s
(iz)dzēst,  i z   d z e s t
aiz-,ai z
dedzināt (-degt),d e d z i n ɐ t   d e ɡ t
degt,d e ɡ t
dedzināt,d e d z i n ɐ t
ogles,uo ɡ l e s
pelni,p e l n i
dūmi,d u m i
liesma,l ie s m ɐ
uguns,u ɡ u n s
laiks,l ai k s
ledus,l e d u s
sniegs,s n ie ɡ s
lietus,l ie t u s
migla,m i ɡ l ɐ
vējš,v e j s
mākonis,m a k uo n i s
padebeši,p a d e b e s i
gaiss,ɡ ai s s
rasa,ʀ a s ɐ
ēna,e n ɐ
paēna,p a e n ɐ
pavēnis,p a v e n i s
tumsa,t u m s ɐ
gaisma,ɡ ai s m ɐ
varavīksne,v a ʀ a v i k s n e
vētra,v e t ʀ ɐ
auka,au k ɐ
pērkons,p e ʀ k o n s
pērkons un zibens,p e ʀ k o n s u n z i b e n s
zibens,z i b e n s
zvaigzne,z v ai ɡ z n e
mēness,m e n e s s
saule,s au l e
debess,d e b e s s
debesis,d e b e s i s
zemestrīce,z e m e s t ʀ i ts e
akmens,a k m e n s
klints,k l i n t s
koks,k uo k s
malka,m a l k ɐ
koks,k uo k s
mežs,m e z s
ūdenskritums,u d e n s k ʀ i t u m s
purvs,p u ʀ v s
avots,a v uo t s
aka,a k ɐ
atvars,a t v ɐ ʀ s
upe,u p e
straume,s t ʀ au m e
paisums,p ai s u m s
bēgums,b e ɡ u m s
paisums un bēgums,p ai s u m s u n b e ɡ u m s
vilnis,v i l n i s
bangas,b a ŋ ɡ ɐ s
zemesrags,z e m e s ʀ ɐ ɡ s
rifs,ʀ i f s
lagūna,l a ɡ u n ɐ
jūras līcis,j u ʀ ɐ s l i ts i s
ezers,e z e ʀ s
okeāns,o k e ɐ n s
putas,p u t ɐ s
bangas,b a ŋ ɡ ɐ s
jūra,j u ʀ ɐ
mierīga (rāma) jūra,m ie ʀ i ɡ ɐ   ʀ a m ɐ   j u ʀ ɐ
ūdens,u d e n s
ala,a l ɐ
krasts,k ʀ a s t s
cietzeme,ts ie t z e m e
sala,s a l ɐ
leja,l e j ɐ
ieleja,ie l e j ɐ
līdzenums,l i d z e n u m s
lauks,l au k s
tīrums,t i ʀ u m s
krauja,k ʀ au j ɐ
klints,k l i n t s
kalns,k a l n s
pakalns,p a k ɐ l n s
dubl̩i,d u b l i
smilts,s m i l t s
smiltis,s m i l t i s
putekl̩i,p u t e k l i
zeme,z e m e
augsne,au ɡ s n e
zeme,z e m e
pasaule,p a s au l e
dažreiz,d a z ʀ ei z
drīz,d ʀ i z
ilgi,i l ɡ i
ne'kad,n e k ɐ d
atkal,a t k ɐ l
diena,d ie n ɐ
nakts,n a k t s
ausma,au s m ɐ
rīts,ʀ i t s
dienas vidus,d ie n ɐ s v i d u s
pēcpusdiena,p e ts p u s d ie n ɐ
vakars,v a k ɐ ʀ s
šodien,s uo d ie n
rīt,ʀ i t
rītdien,ʀ i t d ie n
parīt,p a ʀ i t
vakar,v a k ɐ ʀ
aizvakar,ai z v a k ɐ ʀ
stunda,s t u n d ɐ
pulkstenis,p u l k s t e n i s
nedēl̩a,n e d e l ɐ
svētdiena,s v e t d ie n ɐ
pirmdiena,p i ʀ m d ie n ɐ
otrdiena,uo t ʀ d ie n ɐ
trešdiena,t ʀ e s d ie n ɐ
ceturtdiena,ts e t u ʀ t d ie n ɐ
piektdiena,p ie k t d ie n ɐ
sestdiena,s e s t d ie n ɐ
mēnesis,m e n e s i s
gads,ɡ a d s
ziema,z ie m ɐ
pavasaris,p a v a s a ʀ i s
vasara,v a s a ʀ ɐ
rudens,ʀ u d e n s
gadalaiks,ɡ a d a l ai k s
smaržot,s m a ʀ z uo t
smirdēt,s m i ʀ d e t
ošn̩āt,uo s n ɐ t
ostīt,uo s t i t
smaržīgs,s m a ʀ z i ɡ s
smaržojošs,s m a ʀ z uo j uo s s
smirdošs,s m i ʀ d uo s s
smirdīgs,s m i ʀ d i ɡ s
nogaršot,n uo ɡ a ʀ s uo t
izbaudīt,i z b au d i t
degustēt,d e ɡ u s t e t
salds,s a l d s
sāl̩š,s a l s
rūgts,ʀ u ɡ t s
skābs,s k a b s
iesāl̩š,ie s ɐ l s
dzirdēt,d z i ʀ d e t
klausīties,k l au s i t ie s
skan̩a,s k a n ɐ
troksnis,t ʀ uo k s n i s
skan̩a,s k a n ɐ
stiprs,s t i p ʀ s
skal̩š,s k a l s
klusums,k l u s u m s
miers,m ie ʀ s
redzēt,ʀ e d z e t
skatīties,s k a t i t ie s
rādīt,ʀ a d i t
spīdēt,s p i d e t
mirdzēt,m i ʀ d z e t
spožs,s p o z s
spilgts,s p i l ɡ t s
krāsa,k ʀ a s ɐ
gaišs,ɡ ai s s
tumšs,t u m s s
balts,b a l t s
melns,m e l n s
sarkans,s a ʀ k ɐ n s
zils,z i l s
zal̩š,z a l s
dzeltens,d z e l t e n s
pieskarties,p ie s k a ʀ t ie s
aizskart,ai z s k ɐ ʀ t
(sa)kniebt,  s a   k n ie b t
saspiest,s a s p ie s t
just,j u s t
ciets,ts ie t s
mīksts,m i k s t s
rupjš,ʀ u p j s
gluds,ɡ l u d s
ass,a s s
neass,n e ɐ s s
truls,t ʀ u l s
smags,s m a ɡ s
viegls,v ie ɡ l s
mitrs,m i t ʀ s
slapjš,s l a p j s
sauss,s au s s
karsts,k a ʀ s t s
silts,s i l t s
auksts,au k s t s
tīrs,t i ʀ s
netīrs,n e t i ʀ s
saburzījies,s a b u ʀ z i j ie s
saburzīts,s a b u ʀ z i t s
dvēsele,d v e s e l e
gars,ɡ a ʀ s
pārsteigts,p a ʀ s t ei ɡ t s
veiksme,v ei k s m e
izdevība,i z d e v i b ɐ
laime,l ai m e
neveiksme,n e v ei k s m e
nelaime,n e l ai m e
priecīgs,p ʀ ie ts i ɡ s
laimīgs,l ai m i ɡ s
smieties,s m ie t ie s
smaidīt,s m ai d i t
spēlēt,s p e l e t
rotal̩āties,ʀ uo t a l a t ie s
spēlēties,s p e l e t ie s
mīlēt,m i l e t
skūpstīt,s k u p s t i t
bučot,b u ts uo t
apkampt,a p k ɐ m p t
sāpes,s a p e s
bēdas,b e d ɐ s
skumjas,s k u m j ɐ s
nemiers,n e m ie ʀ s
bažas,b a z ɐ s
raizes,ʀ ai z e s
nožēlot,n uo z e l uo t
nožēla,n uo z e l ɐ
raudāt,ʀ au d ɐ t
asara,a s a ʀ ɐ
vaidēt,v ai d e t
stenēt,s t e n e t
naids,n ai d s
dusmas,d u s m ɐ s
skaudība,s k au d i b ɐ
greizsirdība,ɡ ʀ ei z s i ʀ d i b ɐ
kauns,k au n s
lepns,l e p n s
uzdrošināties,u z d ʀ uo s i n a t ie s
drosmīgs,d ʀ uo s m i ɡ s
bailes,b ai l e s
briesmas,b ʀ ie s m ɐ s
vēlēties,v e l e t ie s
gribēt,ɡ ʀ i b e t
izvēlēties,i z v e l e t ie s
cerības,ts e ʀ i b ɐ s
uzticīgs,u z t i ts i ɡ s
īsts,i s t s
patiess,p a t ie s s
meli,m e l i
melot,m e l uo t
nodevība,n uo d e v i b ɐ
piedot,p ie d uo t
labs,l a b s
slikts,s l i k t s
pareizs,p a ʀ ei z s
nepareizs,n e p a ʀ ei z s
vaina,v ai n ɐ
kl̩ūda,k l u d ɐ
pārmetums,p a ʀ m e t u m s
vaina,v ai n ɐ
uzslava,u z s l a v ɐ
skaists,s k ai s t s
glīts,ɡ l i t s
neglīts,n e ɡ l i t s
rijīgs,ʀ i j i ɡ s
ēdelīgs,e d e l i ɡ s
gudrs,ɡ u d ʀ s
prāts,p ʀ a t s
domāt,d uo m ɐ t
uzskatīt,u z s k a t i t
ticēt,t i ts e t
saprast,s a p ʀ ɐ s t
zināt,z i n ɐ t
minēt,m i n e t
atdarināt,a t d a ʀ i n ɐ t
likties,l i k t ie s
šk̩ist,s k i s t
jēdziens,j e d z ie n s
doma,d uo m ɐ
gudrs,ɡ u d ʀ s
izglītots,i z ɡ l i t uo t s
mul̩k̩īgs,m u l k i ɡ s
stulbs,s t u l b s
dumjš,d u m j s
neprātīgs,n e p ʀ a t i ɡ s
mācīties,m a ts i t ie s
mācīties,m a ts i t ie s
mācīt,m a ts i t
skolēns,s k uo l e n s
skolnieks,s k uo l n ie k s
skolniece,s k uo l n ie ts e
skolotājs,s k uo l uo t ɐ j s
[skola],  s k uo l ɐ
atcerēties,a t ts e ʀ e t ie s
aizmirst,ai z m i ʀ s t
skaidrs,s k ai d ʀ s
neskaidrs,n e s k ai d ʀ s
noslēpums,n uo s l e p u m s
pārliecināts,p a ʀ l ie ts i n ɐ t s
drošs,d ʀ uo s s
skaidrot,s k ai d ʀ uo t
izskaidrot,i z s k ai d ʀ uo t
nodoms,n uo d uo m s
nolūks,n uo l u k s
cēlonis,ts e l o n i s
šaubas,s au b ɐ s
šaubīties,s au b i t ie s
turēt aizdomās,t u ʀ e t ai z d uo m ɐ s
nodot,n uo d uo t
vajadzība,v a j a d z i b ɐ
nepieciešamība,n e p ie ts ie s a m i b ɐ
viegls,v ie ɡ l s
grūts,ɡ ʀ u t s
smags,s m a ɡ s
mēǧināt,m e ɡ i n ɐ t
veids,v ei d s
un,u n
tāpēc,t a p e ts
tāpēc ka,t a p e ts k a
ja,j a
vai,v ai
jā,j a
nē,n e
kā?,k a
cik daudz?,ts i k d au d z
cik daudz?,ts i k d au d z
kas?,k a s
kad?,k a d
kur?,k u ʀ
kurš?,k u ʀ s
kura?,k u ʀ ɐ
kas?,k a s
kāpēc?,k a p e ts
balss,b a l s s
dziedāt,d z ie d ɐ t
kliegt,k l ie ɡ t
čukstēt,ts u k s t e t
murmināt,m u ʀ m i n ɐ t
svilpot,s v i l p uo t
spiegt,s p ie ɡ t
spalgi kliegt,s p a l ɡ i k l ie ɡ t
gaudot,ɡ au d uo t
runāt,ʀ u n ɐ t
stostīties,s t uo s t i t ie s
teikt,t ei k t
sacīt,s a ts i t
stāstīt,s t a s t i t
runa,ʀ u n ɐ
teikt runu,t ei k t ʀ u n u
klusēt,k l u s e t
valoda,v a l uo d ɐ
mēle,m e l e
vārds,v a ʀ d s
vārds,v a ʀ d s
jautāt,j au t ɐ t
uzdot jautājumu,u z d uo t j au t a j u m u
taujāt,t au j ɐ t
atbildēt,a t b i l d e t
atzīt,a t z i t
atzīties,a t z i t ie s
noliegt,n uo l ie ɡ t
prasīt,p ʀ a s i t
lūgt,l u ɡ t
jautāt,j au t ɐ t
(ap)solīt,  a p   s uo l i t
atteikt,a t t ei k t
aizliegt,ai z l ie ɡ t
pārmest,p a ʀ m e s t
bārt,b a ʀ t
rāt,ʀ a t
aicināt,ai ts i n ɐ t
pulcināt,p u l ts i n ɐ t
saukt,s au k t
pazin̩ot,p a z i n uo t
draudēt,d ʀ au d e t
lepoties,l e p uo t ie s
rakstīt,ʀ a k s t i t
lasīt,l a s i t
papīrs,p a p i ʀ s
pildspalva,p i l d s p a l v ɐ
spalvaskāts,s p a l v a s k ɐ t s
grāmata,ɡ ʀ a m a t ɐ
dzejnieks,d z e j n ie k s
flauta,f l au t ɐ
bungas,b u ŋ ɡ ɐ s
taure,t au ʀ e
grabulis,ɡ ʀ a b u l i s
zeme,z e m e
valsts,v a l s t s
dzimtene,d z i m t e n e
tēvzeme,t e v z e m e
pilsēta,p i l s e t ɐ
ciems,ts ie m s
ciemats,ts ie m ɐ t s
robeža,ʀ uo b e z ɐ
iedzīvotāji,ie d z i v uo t a j i
cilts,ts i l t s
ǧints,ɡ i n t s
virsaitis,v i ʀ s ai t i s
nūja,n u j ɐ
spiek̩is,s p ie k i s
(pār)valdīt,  p a ʀ   v a l d i t
karalis,k a ʀ a l i s
valdnieks,v a l d n ie k s
karaliene,k a ʀ a l ie n e
dižciltīgs,d i z ts i l t i ɡ s
augstmanis,au ɡ s t m a n i s
pilsonis,p i l s uo n i s
pavalstnieks,p a v a l s t n ie k s
kungs,k u ŋ ɡ s
vergs,v e ʀ ɡ s
kalps,k a l p s
brīvcilvēks,b ʀ i v ts i l v e k s
pavēlēt,p a v e l e t
(pa)klausīt,  p a   k l au s i t
l̩aut,l au t
atl̩aut,a t l au t
draugs,d ʀ au ɡ s
biedrs,b ie d ʀ s
ienaidnieks,ie n ai d n ie k s
naidnieks,n ai d n ie k s
kaimin̩š,k ai m i n s
svešinieks,s v e s i n ie k s
ciemin̩š,ts ie m i n s
viesis,v ie s i s
saimnieks,s ai m n ie k s
palīdzēt,p a l i d z e t
kavēt,k a v e t
aizkavēt,ai z k a v e t
traucēt,t ʀ au ts e t
paraša,p a ʀ a s ɐ
ieraša,ie ʀ a s ɐ
tradīcija,t ʀ a d i ts i j ɐ
strīds,s t ʀ i d s
sazvērestība,s a z v e ʀ e s t i b ɐ
intriga,i n t ʀ i ɡ ɐ
(sa)tikties,  s a   t i k t ie s
ielasmeita,ie l a s m ei t ɐ
prostitūta,p ʀ o s t i t u t ɐ
cīnīties,ts i n i t ie s
karš,k a ʀ s
miers,m ie ʀ s
armija,a ʀ m i j ɐ
karavīrs,k a ʀ a v i ʀ s
ieroči,ie ʀ uo ts i
runga,ʀ u ŋ ɡ ɐ
kaujas cirvis,k au j ɐ s ts i ʀ v i s
linga,l i ŋ ɡ ɐ
loks,l uo k s
bulta,b u l t ɐ
šk̩ēps,s k e p s
zobens,z uo b e n s
lielgabals,l ie l ɡ a b ɐ l s
brun̩as,b ʀ u n ɐ s
k̩ivere,k i v e ʀ e
vairogs,v ai ʀ uo ɡ s
nocietinājums,n uo ts ie t i n a j u m s
cietoksnis,ts ie t uo k s n i s
tornis,t uo ʀ n i s
uzvara,u z v a ʀ ɐ
sakāve,s a k a v e
uzbrukt,u z b ʀ u k t
aizstāvēt,ai z s t a v e t
aizstāvēties,ai z s t a v e t ie s
atkāpties,a t k a p t ie s
padoties,p a d uo t ie s
gūsteknis,ɡ u s t e k n i s
sargs,s a ʀ ɡ s
laupījums,l au p i j u m s
slēpnis,s l e p n i s
slēptuve,s l e p t u v e
zvejnieks,z v e j n ie k s
makšk̩eres āk̩is,m a k s k e ʀ e s a k i s
makšk̩eres aukla,m a k s k e ʀ e s au k l ɐ
tīkls,t i k l s
murds,m u ʀ d s
ēsma,e s m ɐ
medīt,m e d i t
šaut,s au t
netrāpīt,n e t ʀ a p i t
slazds,s l a z d s
nok̩ert slazdā,n uo k e ʀ t s l a z d ɐ
likums,l i k u m s
tiesa,t ie s ɐ
tiesāt,t ie s ɐ t
spriedums,s p ʀ ie d u m s
tiesnesis,t ie s n e s i s
sūdzētājs,s u d z e t ɐ j s
apsūdzētais,a p s u d z e t ai s
liecinieks,l ie ts i n ie k s
zvērēt,z v e ʀ e t
zvērēsts,z v e ʀ e s t s
apsūdzēt,a p s u d z e t
iesūdzēt,ie s u d z e t
notiesāt,n uo t ie s ɐ t
atzīt par vainīgu,a t z i t p a ʀ v ai n i ɡ u
attaisnot,a t t ai s n uo t
vainīgs,v ai n i ɡ s
nevainīgs,n e v ai n i ɡ s
sods,s uo d s
sods,s uo d s
cietums,ts ie t u m s
(no)slepkavot,  n uo   s l e p k a v uo t
nogalināt,n uo ɡ a l i n ɐ t
laulības pārkāpšana,l au l i b ɐ s p a ʀ k a p s a n ɐ
izvarošana,i z v a ʀ uo s a n ɐ
l̩aunprātīga dedzināšana,l au n p ʀ a t i ɡ ɐ d e d z i n a s a n ɐ
nepatiesa liecība,n e p a t ie s ɐ l ie ts i b ɐ
zagt,z a ɡ t
zaglis,z a ɡ l i s
zagle,z a ɡ l e
reliǧija,ʀ e l i ɡ i j ɐ
Dievs,d ie v s
baznīca,b a z n i ts ɐ
templis,t e m p l i s
altāris,a l t a ʀ i s
ziedojums,z ie d uo j u m s
lūgt,l u ɡ t
pielūgt,p ie l u ɡ t
lūgt,l u ɡ t
lūgties,l u ɡ t ie s
priesteris,p ʀ ie s t e ʀ i s
svēts,s v e t s
spredik̩ot,s p ʀ e d i k uo t
sludināt,s l u d i n ɐ t
svētīt,s v e t i t
nolādēt,n uo l a d e t
gavēt,ɡ a v e t
debesis,d e b e s i s
elle,e l l l e
velns,v e l n s
sātans,s a t ɐ n s
nelabais,n e l a b ai s
elks,e l k s
burvestība,b u ʀ v e s t i b ɐ
buršana,b u ʀ s a n ɐ
burve,b u ʀ v e
ragana,ʀ a ɡ a n ɐ
lauma,l au m ɐ
spoks,s p uo k s
rēgs,ʀ e ɡ s
zīme,z i m e
l̩auna zīme,l au n ɐ z i m e
