,Matthews,AUC,Accuracy,F1,ActionAccuracy,ThingAccuracy,language_name
78,0.13669637942770657,0.49380247900839663,0.5576769292283087,0.4269662921348315,0.926829268292683,0.1885245901639344,Upper Chehalis
79,0.021310744772968338,0.43642542982806876,0.5076969212315074,0.16949152542372883,0.12195121951219512,0.8934426229508197,Upper Chehalis
80,0.13160657865562875,0.5589764094362255,0.5750699720111956,0.417910447761194,0.6829268292682927,0.4672131147540984,Upper Chehalis
81,0.13564072545959227,0.5285885645741704,0.5451819272291083,0.4232804232804233,0.975609756097561,0.11475409836065574,Upper Chehalis
82,0.08554948637727403,0.5017992802878848,0.5416833266693323,0.40963855421686746,0.8292682926829268,0.2540983606557377,Upper Chehalis
83,0.06628790715366109,0.5033986405437825,0.5316873250699721,0.28571428571428575,0.2682926829268293,0.7950819672131147,Upper Chehalis
84,0.0895368269929089,0.5189924030387845,0.539984006397441,0.28169014084507044,0.24390243902439024,0.8360655737704918,Upper Chehalis
85,0.10245269896690243,0.5456817273090764,0.5589764094362255,0.39682539682539686,0.6097560975609756,0.5081967213114754,Upper Chehalis
86,0.08554948637727403,0.521891243502599,0.5416833266693323,0.40963855421686746,0.8292682926829268,0.2540983606557377,Upper Chehalis
87,0.12238133170305976,0.5537784886045582,0.5677728908436626,0.38,0.4634146341463415,0.6721311475409836,Upper Chehalis
88,0.12955132697788568,0.5426829268292683,0.5662734906037585,0.425,0.8292682926829268,0.30327868852459017,Upper Chehalis
89,0.07823728327672884,0.4372251099560176,0.5205917632946822,0.4102564102564102,0.975609756097561,0.06557377049180328,Upper Chehalis
90,0.17227250103096559,0.5675729708116753,0.5606757297081167,0.27586206896551724,0.1951219512195122,0.9262295081967213,Upper Chehalis
91,0.14192776092591308,0.551079568172731,0.5798680527788884,0.39999999999999997,0.5121951219512195,0.6475409836065574,Upper Chehalis
92,0.05497800879648141,0.48460615753698516,0.5274890043982406,0.2926829268292683,0.2926829268292683,0.7622950819672131,Upper Chehalis
93,0.16771017794610743,0.5350859656137544,0.5909636145541783,0.44000000000000006,0.8048780487804879,0.3770491803278688,Upper Chehalis
94,0.23004965062479701,0.628248700519792,0.6322471011595362,0.46875,0.7317073170731707,0.5327868852459017,Upper Chehalis
95,0.11703506876042881,0.5828668532586965,0.5669732107157137,0.4090909090909091,0.6585365853658537,0.47540983606557374,Upper Chehalis
96,0.05055194891707648,0.4525189924030388,0.5209916033586566,0.4022346368715084,0.8780487804878049,0.16393442622950818,Upper Chehalis
97,0.12955132697788568,0.5605757696921232,0.5662734906037585,0.425,0.8292682926829268,0.30327868852459017,Upper Chehalis
98,0.17098885951932752,0.6115553778488605,0.5908636545381847,0.4415584415584416,0.8292682926829268,0.3524590163934426,Upper Chehalis
99,0.08833350152486537,0.535485805677729,0.5507796881247501,0.39062499999999994,0.6097560975609756,0.4918032786885246,Upper Chehalis
