language,ontological.category,marker,n,position
Bulgarian,Action,vamse,6,Suffix
Bulgarian,Action,#,542,Prefix
Bulgarian,Thing,#,1089,Suffix
Bulgarian,Thing,#,1089,Prefix
Cashibo,Action,#,23,Suffix
Cashibo,Action,ɨti,32,Suffix
Cashibo,Action,oko,2,Suffix
Cashibo,Action,ti,128,Suffix
Cashibo,Action,uti,21,Suffix
Cashibo,Action,#,206,Prefix
Cashibo,Thing,#,121,Suffix
Cashibo,Thing,ɨ,51,Suffix
Cashibo,Thing,a,81,Suffix
Cashibo,Thing,o,55,Suffix
Cashibo,Thing,ti,34,Suffix
Cashibo,Thing,u,31,Suffix
Cashibo,Thing,ũ,6,Suffix
Cashibo,Thing,#,379,Prefix
Catalan,Action,#,33,Suffix
Catalan,Action,ɛj,4,Suffix
Catalan,Action,ɾə,30,Suffix
Catalan,Action,a,210,Suffix
Catalan,Action,arsə,18,Suffix
Catalan,Action,i,40,Suffix
Catalan,Action,irsə,6,Suffix
Catalan,Action,#,341,Prefix
Catalan,Thing,#,497,Suffix
Catalan,Thing,ɐ,306,Suffix
Catalan,Thing,a,38,Suffix
Catalan,Thing,#,841,Prefix
Catuquina,Action,#,67,Suffix
Catuquina,Action,a,108,Suffix
Catuquina,Action,i,44,Suffix
Catuquina,Action,ĩ,18,Suffix
Catuquina,Action,o,27,Suffix
Catuquina,Action,#,264,Prefix
Catuquina,Thing,#,62,Suffix
Catuquina,Thing,ɨ,66,Suffix
Catuquina,Thing,a,141,Suffix
Catuquina,Thing,i,167,Suffix
Catuquina,Thing,ĩ,23,Suffix
Catuquina,Thing,o,109,Suffix
Catuquina,Thing,#,568,Prefix
Cavineña,Action,#,25,Suffix
Cavineña,Action,a,16,Suffix
Cavineña,Action,ake,5,Suffix
Cavineña,Action,aya,91,Suffix
Cavineña,Action,da,5,Suffix
Cavineña,Action,eya,24,Suffix
Cavineña,Action,hari,2,Suffix
Cavineña,Action,ida,6,Suffix
Cavineña,Action,iya,52,Suffix
Cavineña,Action,oya,42,Suffix
Cavineña,Action,ya,1,Suffix
Cavineña,Action,#,269,Prefix
Cavineña,Thing,#,118,Suffix
Cavineña,Thing,a,213,Suffix
Cavineña,Thing,ake,16,Suffix
Cavineña,Thing,i,131,Suffix
Cavineña,Thing,ike,14,Suffix
Cavineña,Thing,oko,6,Suffix
Cavineña,Thing,omo,4,Suffix
Cavineña,Thing,oro,13,Suffix
Cavineña,Thing,#,515,Prefix
Cayapa,Action,#,29,Suffix
Cayapa,Action,angenu,22,Suffix
Cayapa,Action,anu,102,Suffix
