Name,geo.cluster,ID,Glottocode,ISO639P3code,wals_code,latitude,longitude,genus,family
Langja Buyang,19,422,emab1235,yzg,NA,23.0105,104.449,Kadai,Tai-Kadai
Ecun Buyang,19,423,lang1316,yln,NA,23.0105,104.449,Kadai,Tai-Kadai
Mahasu Pahari (Kotghari dialect),20,704,maha1287,bfz,NA,31.0088,77.5317,Indic,Indo-European
Bulang,19,801,blan1242,blr,NA,22.0092,99.7405,Palaung-Khmuic,Austro-Asiatic
Keme (Kemie variety),19,804,manm1238,mml,NA,22.0743,100.842,Palaung-Khmuic,Austro-Asiatic
Xu,19,805,huuu1240,huo,NA,22.0163,100.881,Palaung-Khmuic,Austro-Asiatic
Pusing,19,810,bitt1240,bgk,NA,21.3474,101.916,Palaung-Khmuic,Austro-Asiatic
Paliu,19,811,boly1239,ply,NA,24.7013,104.955,Pakanic,Austro-Asiatic
Cuoi,NA,815,cuoi1242,NA,NA,NA,NA,Cuoi,Austro-Asiatic
LiHa,NA,819,cuoi1242,NA,NA,NA,NA,Cuoi,Austro-Asiatic
Phong,19,820,phon1246,pnx,NA,19.9622,104.088,Palaung-Khmuic,Austro-Asiatic
Tum,NA,822,cuoi1242,NA,NA,NA,NA,Cuoi,Austro-Asiatic
Kha Poong,NA,825,khap1242,NA,NA,NA,NA,Chutic,Austro-Asiatic
Malieng,NA,826,mali1278,NA,NA,NA,NA,Chutic,Austro-Asiatic
Ahlao Th,19,827,aheu1239,thm,NA,17.7655,104.229,Chutic,Austro-Asiatic
Pear,19,830,pear1247,pcb,NA,13.593,105.028,Pearic,Austro-Asiatic
Samre,19,833,samr1245,sxm,NA,13.479,103.978,Bookkeeping,Bookkeeping
Chong,19,834,chon1284,cog,NA,12.5218,102.514,Pearic,Austro-Asiatic
Iduh,19,838,oduu1239,tyh,NA,19.3497,104.106,Palaung-Khmuic,Austro-Asiatic
Mang Ch,19,839,mang1378,zng,NA,21.4305,102.133,Mangic,Austro-Asiatic
