ID,Name,iso_code,latitude,longitude,family,macroarea,countrycodes
187,Swedish,swe,60,15,Indo-European,Eurasia,SE FI
68,Tabasaran (Southern dialect),tab,41.8333333333,47.9166666667,Nakh-Daghestanian,Eurasia,RU
276,Tacana,tna,-13.5,-68,Tacanan,South America,BO
408,Tai Khün,kkh,21,100,Tai-Kadai,Eurasia,MM
407,Tai Lü,khb,22,100.666666667,Tai-Kadai,Eurasia,CN LA MM
708,Tamil,tam,11,78.5,Dravidian,Eurasia,LK IN
310,Tehuelche,teh,-48,-68,Chon,South America,AR
709,Telugu,tel,16,79,Dravidian,Eurasia,IN
710,Tibetan,bod,30.8333333333,79,Sino-Tibetan,Eurasia,IN
50,Tindi,tin,42.3666666667,46.25,Nakh-Daghestanian,Eurasia,RU
228,Tlingit,tli,59,-135,Na-Dene,North America,US
314,Toba,tob,-26.5,-59,Guaicuruan,South America,AR
240,Tongan,ton,-21.1666666667,-175.166666667,Austronesian,Papunesia,TO
296,Trumai,tpy,-11.9166666667,-53.5833333333,Trumai,South America,BR
70,Tsakhur,tkr,41.6666666667,47.1666666667,Nakh-Daghestanian,Eurasia,RU AZ
162,Tsez (Mokok dialect),ddo,42.25,45.75,Nakh-Daghestanian,Eurasia,RU
229,Tsimshian,tsi,52.5,-129,Penutian,North America,US CA
533,Tsova-Tush,bbl,42.5,45.5,Nakh-Daghestanian,Eurasia,GE
241,Tuamotuan,pmt,-17,-144,Austronesian,Papunesia,PF
257,Tuyuca,tue,0.5,-70.0833333333,Tucanoan,South America,CO BR
80,Udi,udi,41,48,Nakh-Daghestanian,Eurasia,AZ
159,Udmurt,udm,57.5,52.5,Uralic,Eurasia,RU
232,Upper Chehalis,cjh,46.5833333333,-123,Salishan,North America,US
816,Vietnamese,vie,10.5,106.5,Austro-Asiatic,Eurasia,VN
175,Wai Wai,waw,1,-59,Cariban,South America,BR GY
255,Waorani,auc,-1,-76.5,Waorani,South America,EC
266,Wapishana,wap,2.66666666667,-60,Arawakan,South America,BR GY
267,Waurá,wau,-13,-53,Arawakan,South America,BR
292,Wayampi,oym,1,-52,Tupian,South America,BR
306,Wichí,mzh,-22.5,-62.5833333333,Matacoan,South America,AR BO
315,Yagán,yag,-55,-68,Yámana,South America,CL
260,Yagua,yad,-3.5,-72,Peba-Yaguan,South America,PE
282,Yaminahua,yaa,-8,-73,Panoan,South America,BR PE
253,Yanomámi,wca,2.33333333333,-63,Yanomam,South America,BR
251,Yaruro,yae,7,-68,Yaruro,South America,VR
195,Yiddish,yih,52,23,Indo-European,Eurasia,LT PL DE BY UA
226,Zuni,zun,35.0833333333,-108.833333333,Zuni,North America,US
827,Ahlao Th,thm,17.7655,104.229,Austro-Asiatic,NA,LA TH
34,Akhvakh (Southern dialect),akv,42.4003,46.3037,Nakh-Daghestanian,NA,RU
534,Archi (variety 2),aqc,42.3239,46.8267,Nakh-Daghestanian,NA,RU
213,Avestan,ave,31.541,53.633,Indo-European,NA,IR
37,Botlikh,bph,42.665,46.22,Nakh-Daghestanian,NA,RU
801,Bulang,blr,22.0092,99.7405,Austro-Asiatic,NA,CN MM TH
278,Catuquina,knt,-7.97456,-71.56151,Panoan,NA,BR
401,Central Thai,tha,14.192,100.671,Tai-Kadai,NA,KH MM TH
223,Chatino (Zacatepec variety),ctz,16.08,-97.3069,Otomanguean,NA,MX
317,Chechen (Akkin dialect),che,43.5,45.5,Nakh-Daghestanian,NA,GE KZ RU
834,Chong,cog,12.5218,102.514,Austro-Asiatic,NA,KH TH
815,Cuoi,hnu,18.7849,104.772,Austro-Asiatic,NA,LA VN
405,Dehong,tdd,21.7837,99.722,Tai-Kadai,NA,CN LA MM TH VN
423,Ecun Buyang,yln,23.0105,104.449,Tai-Kadai,NA,CN
838,Iduh,tyh,19.3497,104.106,Austro-Asiatic,NA,LA VN
74,Judeo-Tat,jdt,42.068306,48.264749,Indo-European,NA,AZ
832,Kasong,syo,11.936,104.136,Austro-Asiatic,NA,KH
804,Keme (Kemie variety),mml,22.0743,100.842,Austro-Asiatic,NA,CN
825,Kha Poong,pkt,17.913525,105.52746,Austro-Asiatic,NA,LA VN
404,Khamuang (Chiang Mai variety),nod,18.857495,100.20739,Tai-Kadai,NA,LA MM TH
54,Khwarshi (Inkhokvari dialect),khv,42.2743,45.9977,Nakh-Daghestanian,NA,RU
422,Langja Buyang,yzg,23.0105,104.449,Tai-Kadai,NA,CN
819,LiHa,hnu,18.7849,104.772,Austro-Asiatic,NA,LA VN
704,Mahasu Pahari (Kotghari dialect),bfz,31.0088,77.5317,Indo-European,NA,IN
826,Malieng,scb,17.6819,105.773,Austro-Asiatic,NA,LA VN
839,Mang Ch,zng,21.4305,102.133,Austro-Asiatic,NA,CN TH VN
264,Mashco Piro,cuj,-11.4745,-70.7953,Arawakan,NA,PE
411,Nung-Fengshan,zgn,23.6818,107.184,Tai-Kadai,NA,CN
412,Nung-Lazhai,zgn,23.6818,107.184,Tai-Kadai,NA,CN
811,Paliu,ply,24.7013,104.955,Austro-Asiatic,NA,CN
830,Pear,pcb,13.593,105.028,Austro-Asiatic,NA,KH
820,Phong,pnx,19.9622,104.088,Austro-Asiatic,NA,LA VN
221,Polci,plj,10.0258,9.53362,afro1255,NA,NG
810,Pusing,bgk,21.3474,101.916,Austro-Asiatic,NA,CN LA
833,Samre,sxm,13.479,103.978,Bookkeeping,NA,KH
298,Sanapaná (Angaité dialect),sap,-22.11454,-58.90698,Bookkeeping,NA,PY
299,Sanapaná (Enlhet dialect),sap,-22.11454,-58.90698,Bookkeeping,NA,PY
424,Sanchong Kelao,giq,22.5632,104.698,Tai-Kadai,NA,VN
402,Southern Tai (Songkhla variety),sou,6.85668,99.7031,Tai-Kadai,NA,MM MY TH
836,Surin Khmer,kxm,14.4674,103.863,Austro-Asiatic,NA,KH TH
67,Tabasaran (Northern dialect Khanag subdialect),tab,42.0198,47.8379,Nakh-Daghestanian,NA,AZ KZ RU
403,Thai (Korat variety),sou,6.85668,99.7031,Tai-Kadai,NA,MM MY TH
265,Trinitario,trn,-15.3331,-65.4096,Arawakan,NA,BO
55,Tsez (Sagada dialect),ddo,42.2646,45.8096,Nakh-Daghestanian,NA,GE RU
822,Tum,hnu,18.7849,104.772,Austro-Asiatic,NA,LA VN
318,Uncunwee,ghl,11.6432,29.8122,Nubian,NA,SD
807,Wa,wbm,23.1024,99.108,Austro-Asiatic,NA,CN MM
805,Xu,huo,22.0163,100.881,Austro-Asiatic,NA,CN
268,Yavitero,yvt,2.800281,-68.084219,Arawakan,NA,VE
250,Yuwana,yau,5.63879,-65.4267,Jodi-Saliban,NA,VE
414,Zhuang-Longzhou,zzj,21.83753,107.3622,Tai-Kadai,NA,CN VN
