Form,transcription,englishName,language,englishPOS,languageFamily,alt_transcription,alt_form,concepticonID,phon,method,ontologicalCategory,include
caure,StandardOrth,fall,Catalan,verb,Indo-European,NA,NA,NA,kabɾɛ,NA,Action,TRUE
aixecar,StandardOrth,"raise, lift",Catalan,verb,Indo-European,NA,NA,NA,aʒʃɛkaɾ,NA,Action,FALSE
elevar,StandardOrth,rise,Catalan,verb,Indo-European,NA,NA,NA,ɛlɛbaɾ,NA,Action,FALSE
ascendir,StandardOrth,rise,Catalan,verb,Indo-European,NA,NA,NA,asɛndiɾ,NA,Action,FALSE
torçar,StandardOrth,twist,Catalan,verb,Indo-European,NA,NA,NA,tɔɾsaɾ,NA,Action,FALSE
enrotllar,StandardOrth,roll,Catalan,verb,Indo-European,NA,NA,NA,ɛnɾɔʎaɾ,NA,Action,FALSE
embolicar,StandardOrth,"wind, wrap",Catalan,verb,Indo-European,NA,NA,NA,ɛmbɔlikaɾ,NA,Action,FALSE
girar,StandardOrth,turn around,Catalan,verb,Indo-European,NA,NA,NA,ʒiɾaɾ,NA,Action,FALSE
moure,StandardOrth,move,Catalan,verb,Indo-European,NA,NA,NA,mɔbɾɛ,NA,Action,FALSE
esculpir,StandardOrth,carve,Catalan,verb,Indo-European,NA,NA,NA,ɛskulpiɾ,NA,Action,FALSE
ventallar,StandardOrth,fan (vb),Catalan,verb,Indo-European,NA,NA,NA,bɛntaʎaɾ,NA,Action,FALSE
teixir,StandardOrth,"weave, plait",Catalan,verb,Indo-European,NA,NA,NA,tɛʒʃiɾ,NA,Action,FALSE
moldejar,StandardOrth,mold (clay etc),Catalan,verb,Indo-European,NA,NA,NA,mɔldɛʒaɾ,NA,Action,FALSE
fondre,StandardOrth,cast (metals),Catalan,verb,Indo-European,NA,NA,NA,fɔndɾɛ,NA,Action,FALSE
forja,StandardOrth,forge,Catalan,verb,Indo-European,NA,NA,NA,fɔɾʒa,NA,Action,FALSE
fondalar,StandardOrth,hollow out,Catalan,verb,Indo-European,NA,NA,NA,fɔndalaɾ,NA,Action,FALSE
perforar,StandardOrth,bore,Catalan,verb,Indo-European,NA,NA,NA,pɛɾfɔɾaɾ,NA,Action,FALSE
construir,StandardOrth,build,Catalan,verb,Indo-European,NA,NA,NA,kɔnstɾuʒɾ,NA,Action,FALSE
rentar,StandardOrth,wash,Catalan,verb,Indo-European,NA,NA,NA,ɾɛntaɾ,NA,Action,FALSE
escombrar,StandardOrth,sweep,Catalan,verb,Indo-European,NA,NA,NA,ɛskɔmbɾaɾ,NA,Action,FALSE
