word,language,AoA,rank,included,form
stool,Hungarian,2.86,30,FALSE,NA
sleep,Hungarian,2.86,31,TRUE,alszik
cap,Hungarian,2.9,32,FALSE,NA
door,Hungarian,2.9,33,TRUE,ayt�
frog,Hungarian,2.9,34,TRUE,b�ka
scarf,Hungarian,2.9,35,FALSE,NA
swing,Hungarian,2.9,36,FALSE,NA
bark,Hungarian,2.9,37,FALSE,NA
comb,Hungarian,2.95,38,TRUE,f�s?
clap,Hungarian,2.95,39,FALSE,NA
bird,Hungarian,3,40,TRUE,mad�r
carrot,Hungarian,3,41,FALSE,NA
dress,Hungarian,3,42,TRUE,ruha
duck,Hungarian,3,43,TRUE,kacza
lamp,Hungarian,3,44,FALSE,NA
sing,Hungarian,3.05,45,TRUE,�nekel
wake up,Hungarian,3.05,46,TRUE,�bred
kick,Hungarian,3.1,47,TRUE,r�g
car,Hungarian,3.14,48,FALSE,NA
cow,Hungarian,3.14,49,TRUE,teh�n
fly,Hungarian,3.14,50,TRUE,l�gy
horse,Hungarian,3.14,51,TRUE,l�
mouse,Hungarian,3.14,52,FALSE,NA
crawl,Hungarian,3.14,53,TRUE,(fel)m�szik
hunt,Hungarian,3.14,54,TRUE,vad�szik
lick,Hungarian,3.14,55,TRUE,nyal
swing,Hungarian,3.14,56,FALSE,NA
monkey,Hungarian,3.19,57,TRUE,mayom
snowman,Hungarian,3.19,58,FALSE,NA
run,Hungarian,3.19,59,TRUE,fut
bite,Hungarian,3.2,60,TRUE,harap
fork,Hungarian,3.24,61,TRUE,villa
ladder,Hungarian,3.24,62,FALSE,NA
rabbit,Hungarian,3.24,63,TRUE,ny�l
snail,Hungarian,3.24,64,TRUE,cziga
snow,Hungarian,3.24,65,FALSE,NA
wave,Hungarian,3.24,66,FALSE,NA
balloon,Hungarian,3.25,67,FALSE,NA
Hen,Hungarian,3.25,68,TRUE,ty�k
pear,Hungarian,3.29,69,FALSE,NA
cook,Hungarian,3.29,70,TRUE,f?z
bear,Hungarian,3.33,71,TRUE,medve
lion,Hungarian,3.33,72,TRUE,oroszl�n
moon,Hungarian,3.33,73,TRUE,hold
pencil,Hungarian,3.33,74,FALSE,NA
stairs,Hungarian,3.33,75,TRUE,l�pcz?
strawberry,Hungarian,3.33,76,FALSE,NA
tomato,Hungarian,3.33,77,FALSE,NA
blow,Hungarian,3.33,78,TRUE,f�y
climb,Hungarian,3.33,79,FALSE,NA
fight,Hungarian,3.33,80,FALSE,NA
ring,Hungarian,3.33,81,FALSE,NA
stroke,Hungarian,3.33,82,FALSE,NA
sting,Hungarian,3.35,83,FALSE,NA
boot,Hungarian,3.38,84,TRUE,czizma
squirrel,Hungarian,3.38,85,FALSE,NA
toothbrush,Hungarian,3.38,86,FALSE,NA
brush [teeth],Hungarian,3.38,87,TRUE,mos
drill,Hungarian,3.38,88,TRUE,f�r
laugh,Hungarian,3.38,89,TRUE,nevet
operate,Hungarian,3.38,90,FALSE,NA
wash [clothes],Hungarian,3.38,91,FALSE,NA
dummy,Italian,1.92,1,FALSE,NA
ball,Italian,2,2,TRUE,palla
house,Italian,2,3,TRUE,casa
dog,Italian,2.04,4,FALSE,NA
eat,Italian,2.04,5,TRUE,mangiare
nose,Italian,2.12,6,TRUE,naso
cat,Italian,2.16,7,TRUE,gatto
apple,Italian,2.2,8,FALSE,NA
flower,Italian,2.2,9,TRUE,fiore
bed,Italian,2.24,10,TRUE,letto
sun,Italian,2.24,11,TRUE,sole
drink,Italian,2.25,12,TRUE,bere
pee,Italian,2.25,13,FALSE,NA
chair,Italian,2.32,14,TRUE,sedia
eye,Italian,2.32,15,TRUE,occhio
glass,Italian,2.36,16,FALSE,NA
tree,Italian,2.36,17,FALSE,NA
play golf,Italian,2.38,18,TRUE,giocare
doll,Italian,2.4,19,FALSE,NA
door,Italian,2.4,20,FALSE,NA
leg,Italian,2.4,21,TRUE,gamba
shoe,Italian,2.4,22,TRUE,scarpa
sleep,Italian,2.42,23,TRUE,dormire
watch [TV],Italian,2.42,24,TRUE,guardare
walk,Italian,2.46,25,TRUE,camminare
laugh,Italian,2.5,26,TRUE,ridere
pear,Italian,2.52,27,FALSE,NA
